rank,band,video_id,url,drills_backed,schedulable_drills,why,drill_names
21,P2,iZK-Rtp1bv4,https://www.youtube.com/watch?v=iZK-Rtp1bv4,1,1,collection video matched to an existing canonical drill,"Pro Base-Stealing Package — Leads, Reads & Jumps"
22,P2,JVwDSgbUfBM,https://www.youtube.com/watch?v=JVwDSgbUfBM,1,1,collection video matched to an existing canonical drill,Steal Breaks — Reading the Pitcher & First Move
23,P2,moFsNt7cOig,https://www.youtube.com/shorts/moFsNt7cOig,1,1,collection video matched to an existing canonical drill,The Flamingo Drill
24,P2,JDRg2nvAwqU,https://www.youtube.com/watch?v=JDRg2nvAwqU,1,1,collection video matched to an existing canonical drill,Youth Receiving Foundations — Quiet Glove & Soft Hands
25,P4,yaPtL61nSzU,https://www.youtube.com/watch?v=yaPtL61nSzU,1,1,single-drill video for a schedulable activity,8 Baseball Warm-Up Exercises You Must Do
26,P4,slqo583qoAg,https://www.youtube.com/watch?v=slqo583qoAg,1,1,single-drill video for a schedulable activity,9-Exercise J-Band Strength Routine
27,P4,QR2QWQTHp-s,https://www.youtube.com/watch?v=QR2QWQTHp-s,1,1,single-drill video for a schedulable activity,"Advanced First Base — Off-Line Throws, Picks & Short Hops"
28,P4,Sx-nSeUhACM,https://www.youtube.com/watch?v=Sx-nSeUhACM,1,1,single-drill video for a schedulable activity,Baby Steps - Hip Load
29,P4,m74alEFc8FE,https://www.youtube.com/watch?v=m74alEFc8FE,1,1,single-drill video for a schedulable activity,Back Knee Down - Stay Centered
30,P4,5GY4nLILbi4,https://www.youtube.com/watch?v=5GY4nLILbi4,1,1,single-drill video for a schedulable activity,Baseball Arm Stretches and Pre-Throwing Warm-Up
31,P4,MNouzjZQ4wo,https://www.youtube.com/watch?v=MNouzjZQ4wo,1,1,single-drill video for a schedulable activity,Baseball Dynamic Stretches for Youth Players
32,P4,eQCF2jZiU5M,https://www.youtube.com/watch?v=eQCF2jZiU5M,1,1,single-drill video for a schedulable activity,Blocking the Right Way — Technique to Reaction Reps
33,P4,YLocEKnieBA,https://www.youtube.com/watch?v=YLocEKnieBA,1,1,single-drill video for a schedulable activity,Bunting with Lacrosse Stick
34,P4,x5oEDLlVpqo,https://www.youtube.com/watch?v=x5oEDLlVpqo,1,1,single-drill video for a schedulable activity,Call It Early — Outfield Communication Basics
35,P4,cV8Ivq0XcJA,https://www.youtube.com/watch?v=cV8Ivq0XcJA,1,1,single-drill video for a schedulable activity,"Calm Rundowns — Push Back, Follow Your Throw"
36,P4,SR8atnQMvg4,https://www.youtube.com/watch?v=SR8atnQMvg4,1,1,single-drill video for a schedulable activity,Competitive Team Bunting Game
37,P4,WQ9ggLQJ96M,https://www.youtube.com/watch?v=WQ9ggLQJ96M,1,1,single-drill video for a schedulable activity,Complete Pitching and Throwing Warm-Up Routine
38,P4,Rlfpp7_DBmQ,https://www.youtube.com/shorts/Rlfpp7_DBmQ,1,1,single-drill video for a schedulable activity,Cross-Shuffle Drill
39,P4,wIU9NdCBBkE,https://www.youtube.com/watch?v=wIU9NdCBBkE,1,1,single-drill video for a schedulable activity,Cutoff Responsibilities by Situation
40,P4,IEk4QipiFTY,https://www.youtube.com/watch?v=IEk4QipiFTY,1,1,single-drill video for a schedulable activity,Daily Backhand Series
41,P4,pIx9tM4NKrU,https://www.youtube.com/watch?v=pIx9tM4NKrU,1,1,single-drill video for a schedulable activity,Deaden & Direct — Bunt Placement Drill
42,P4,CfnTD3DyEM0,https://www.youtube.com/watch?v=CfnTD3DyEM0,1,1,single-drill video for a schedulable activity,Don't Dump the Barrel
43,P4,F0MwVYtimb8,https://www.youtube.com/watch?v=F0MwVYtimb8,1,1,single-drill video for a schedulable activity,Double-Play Feeds & Turns
44,P4,JBGAGVgHLq0,https://www.youtube.com/watch?v=JBGAGVgHLq0,1,1,single-drill video for a schedulable activity,Dynamic Warm-Up with Arm Stretches
45,P4,hMdoQ94UxCE,https://www.youtube.com/watch?v=hMdoQ94UxCE,1,1,single-drill video for a schedulable activity,Figure Eight Infield Drill
46,P4,R1sbhgRzneQ,https://www.youtube.com/watch?v=R1sbhgRzneQ,1,1,single-drill video for a schedulable activity,First Base Footwork & Throw Adjustments
47,P4,95B1kSchurQ,https://www.youtube.com/watch?v=95B1kSchurQ,1,1,single-drill video for a schedulable activity,First Base Fundamentals — Finding the Bag & the Stretch
48,P4,yiG7Lm-Vv28,https://www.youtube.com/watch?v=yiG7Lm-Vv28,1,1,single-drill video for a schedulable activity,Fly Ball Drill with Cones
49,P4,7CbADt5veC0,https://www.youtube.com/watch?v=7CbADt5veC0,1,1,single-drill video for a schedulable activity,Flyball Communication Drill
50,P4,fSTmvPm_77I,https://www.youtube.com/watch?v=fSTmvPm_77I,1,1,single-drill video for a schedulable activity,Four Cones Ground Ball Drill
51,P4,NEfaNRgWJdU,https://www.youtube.com/watch?v=NEfaNRgWJdU,1,1,single-drill video for a schedulable activity,Freeze at Extension Drill
52,P4,cltDRzlLm44,https://www.youtube.com/watch?v=cltDRzlLm44,1,1,single-drill video for a schedulable activity,Fun Baseball Throwing Drill
53,P4,kOz3WRPiXr8,https://www.youtube.com/watch?v=kOz3WRPiXr8,1,1,single-drill video for a schedulable activity,Fun Fielding Drill for Young Players
54,P4,OAbBekHAk_g,https://www.youtube.com/watch?v=OAbBekHAk_g,1,1,single-drill video for a schedulable activity,Game-Speed Rundown Execution
55,P4,98cZlSjRkw8,https://www.youtube.com/shorts/98cZlSjRkw8,1,1,single-drill video for a schedulable activity,Infield Throwing Drill
56,P4,5q3b9m2ERho,https://www.youtube.com/watch?v=5q3b9m2ERho,1,1,single-drill video for a schedulable activity,Infield/Outfield Priority Drill
57,P4,YipF1W7BDJM,https://www.youtube.com/watch?v=YipF1W7BDJM,1,1,single-drill video for a schedulable activity,"Line Relay Race — Catch, Turn, Throw"
58,P4,Yle6R1-flA8,https://www.youtube.com/watch?v=Yle6R1-flA8,1,1,single-drill video for a schedulable activity,Little League Cuts & Relays System
59,P4,8t_2jHXCdaI,https://www.youtube.com/watch?v=8t_2jHXCdaI,1,1,single-drill video for a schedulable activity,Load to Launch Drill
60,P4,TJXQiYdueQc,https://www.youtube.com/watch?v=TJXQiYdueQc,1,1,single-drill video for a schedulable activity,Machine-Fed Relay Sequences at Game Speed
61,P4,Z1erh6UVR_w,https://www.youtube.com/watch?v=Z1erh6UVR_w,1,1,single-drill video for a schedulable activity,MLB-Style Receiving & Framing Circuit
62,P4,yJxiRn88Ms0,https://www.youtube.com/watch?v=yJxiRn88Ms0,1,1,single-drill video for a schedulable activity,One-Knee Receiving — Advanced Framing Setup
63,P4,OhWNIpPlcgA,https://www.youtube.com/watch?v=OhWNIpPlcgA,1,1,single-drill video for a schedulable activity,Oppo Tee & Toss — Stay Inside the Ball
64,P4,Oz1oGdb0n-8,https://www.youtube.com/watch?v=Oz1oGdb0n-8,1,1,single-drill video for a schedulable activity,Overload/Underload Bat Speed Progression
65,P4,wMZkEfiFBxc,https://www.youtube.com/watch?v=wMZkEfiFBxc,1,1,single-drill video for a schedulable activity,Pop-Up Slide — Slide and Advance
66,P4,EunHAooYktE,https://www.youtube.com/watch?v=EunHAooYktE,1,1,single-drill video for a schedulable activity,Post-Throwing Recovery Routine
67,P4,p7B12g_o4pQ,https://www.youtube.com/watch?v=p7B12g_o4pQ,1,1,single-drill video for a schedulable activity,PVC Posture Drill
68,P4,TZ9CQUmPjn8,https://www.youtube.com/watch?v=TZ9CQUmPjn8,1,1,single-drill video for a schedulable activity,Ripken Soft Toss Drill
69,P4,6QIt-cYXL4s,https://www.youtube.com/watch?v=6QIt-cYXL4s,1,1,single-drill video for a schedulable activity,Second Baseman Flip/Throw Combo
70,P4,SXfbP6x3iXI,https://www.youtube.com/watch?v=SXfbP6x3iXI,1,1,single-drill video for a schedulable activity,Secondary Lead & Delayed Steal
71,P4,LtzwCrthlTY,https://www.youtube.com/watch?v=LtzwCrthlTY,1,1,single-drill video for a schedulable activity,Simple Throwing Progressions
72,P4,e_q6AWdgabQ,https://www.youtube.com/watch?v=e_q6AWdgabQ,1,1,single-drill video for a schedulable activity,Sliding Practice Stations
73,P4,8_6Ea45fL5s,https://www.youtube.com/watch?v=8_6Ea45fL5s,1,1,single-drill video for a schedulable activity,Stay Back — Beat the Changeup
74,P4,I5KNd4H_b4Q,https://www.youtube.com/watch?v=I5KNd4H_b4Q,1,1,single-drill video for a schedulable activity,Sunflower Seed Soft Toss
75,P4,acYqNE9jRXI,https://www.youtube.com/shorts/acYqNE9jRXI,1,1,single-drill video for a schedulable activity,The Best Youth Infield Drill
76,P4,0Phvj-iyLcc,https://www.youtube.com/watch?v=0Phvj-iyLcc,1,1,single-drill video for a schedulable activity,The Catch Drill — Track & Read Pitches
77,P4,Uj5lw17XvuI,https://www.youtube.com/watch?v=Uj5lw17XvuI,1,1,single-drill video for a schedulable activity,The Cone Drill
78,P4,SHA1orN7eHE,https://www.youtube.com/watch?v=SHA1orN7eHE,1,1,single-drill video for a schedulable activity,The Hands Routine — Infield Fielding Drill
79,P4,9EAbFFMBBGE,https://www.youtube.com/watch?v=9EAbFFMBBGE,1,1,single-drill video for a schedulable activity,The Lawnmower Drill — Arm Action & Wrist Snap
80,P4,_yEr3pFHQUA,https://www.youtube.com/watch?v=_yEr3pFHQUA,1,1,single-drill video for a schedulable activity,The Move-'Em At-Bat — Advancing Runners
81,P4,Elzjz_qhLM4,https://www.youtube.com/watch?v=Elzjz_qhLM4,1,1,single-drill video for a schedulable activity,Three-Ball Slow Roller Drill
82,P4,pOu6Rfnf8og,https://www.youtube.com/watch?v=pOu6Rfnf8og,1,1,single-drill video for a schedulable activity,Two Balls Toss Drill
83,P4,OEYEvKRh2eQ,https://www.youtube.com/watch?v=OEYEvKRh2eQ,1,1,single-drill video for a schedulable activity,Two-Base Pickle Drill
84,P4,zp0hdAmWwZw,https://www.youtube.com/shorts/zp0hdAmWwZw,1,1,single-drill video for a schedulable activity,Youth Infield Drill (Practice Anywhere)
85,P4,yrgUzW0UK40,https://www.youtube.com/watch?v=yrgUzW0UK40,1,1,single-drill video for a schedulable activity,Youth J-Band Routine — Pre-Throwing Activation
86,P5,Hk9-ofX19Ig,https://www.youtube.com/watch?v=Hk9-ofX19Ig,2,0,backs only demoted rows,How to Add Base Running Into Practice | How to Throw the RIGHT WAY
87,P5,sDhB2fAoQsA,https://www.youtube.com/watch?v=sDhB2fAoQsA,1,0,backs only demoted rows,2 Outfield Drills for Fly Balls
88,P5,Lnfgd_ld_CM,https://www.youtube.com/watch?v=Lnfgd_ld_CM,1,0,backs only demoted rows,3 Great Drills for Teaching Fly Balls
89,P5,EZtJ9JNPE2k,https://www.youtube.com/watch?v=EZtJ9JNPE2k,1,0,backs only demoted rows,3 Simple Fielding Drills for Youth Players
90,P5,Kwo1k2i-tSE,https://www.youtube.com/watch?v=Kwo1k2i-tSE,1,0,backs only demoted rows,3 Simple Framing Drills for Catchers
91,P5,U9Gr4OnGJQA,https://www.youtube.com/watch?v=U9Gr4OnGJQA,1,0,backs only demoted rows,4 High-Energy Infield Drills
92,P5,3NqJh3hfYZc,https://www.youtube.com/watch?v=3NqJh3hfYZc,1,0,backs only demoted rows,5 Essential Hitting Drills for Youth Baseball
93,P5,Sx15PJz027o,https://www.youtube.com/watch?v=Sx15PJz027o,1,0,backs only demoted rows,5 Youth Pitching Drills From Your Knees
94,P5,k9ihDpMSAdM,https://www.youtube.com/watch?v=k9ihDpMSAdM,1,0,backs only demoted rows,5-Point Baserunning Checklist Drill
95,P5,y4Ep5hji9TI,https://www.youtube.com/watch?v=y4Ep5hji9TI,1,0,backs only demoted rows,Catcher Footwork Skills and Drills
96,P5,XySDLIYnuyw,https://www.youtube.com/shorts/XySDLIYnuyw,1,0,backs only demoted rows,Catching For Beginners (Jingle)
97,P5,Ji0QzOJe3hE,https://www.youtube.com/watch?v=Ji0QzOJe3hE,1,0,backs only demoted rows,Changeup Grip Menu — Match the Grip to the Hand
98,P5,WUIM8NqNETg,https://www.youtube.com/watch?v=WUIM8NqNETg,1,0,backs only demoted rows,Essential Outfield Drills — Fly Balls and Ground Balls
99,P5,tduq0roBxl0,https://www.youtube.com/watch?v=tduq0roBxl0,1,0,backs only demoted rows,Fastest Technique Running Out of the Box
100,P5,iKX-qxQ1X5g,https://www.youtube.com/watch?v=iKX-qxQ1X5g,1,0,backs only demoted rows,High Tee Drill
101,P5,k8Lzh6YJLUE,https://www.youtube.com/watch?v=k8Lzh6YJLUE,1,0,backs only demoted rows,Hitting Tips for Tee Ball (4-5 Year Olds)
102,P5,jw2edYj5Pk4,https://www.youtube.com/watch?v=jw2edYj5Pk4,1,0,backs only demoted rows,How to Bunt - Youth Skills
103,P5,jQ155czytTU,https://www.youtube.com/watch?v=jQ155czytTU,1,0,backs only demoted rows,How to Bunt Like a PRO
104,P5,e_8zNKXz_FQ,https://www.youtube.com/watch?v=e_8zNKXz_FQ,1,0,backs only demoted rows,How to Catch a Fly Ball With Confidence
105,P5,5Tq5EwiESHA,https://www.youtube.com/shorts/5Tq5EwiESHA,1,0,backs only demoted rows,How to Get a T-Baller to Catch a Ball
106,P5,bWt9YWZiJps,https://www.youtube.com/watch?v=bWt9YWZiJps,1,0,backs only demoted rows,How to Run the Bases — Pro Tips
107,P5,rV3EQ5tHcNE,https://www.youtube.com/watch?v=rV3EQ5tHcNE,1,0,backs only demoted rows,How to Soft Toss
108,P5,oCq8NblqfQE,https://www.youtube.com/watch?v=oCq8NblqfQE,1,0,backs only demoted rows,In-Swing Off-Speed Adjustment
109,P5,TPIs68iqZVA,https://www.youtube.com/watch?v=TPIs68iqZVA,1,0,backs only demoted rows,Indoor Team Pitching Drills
110,P5,pn3xtpCc8uM,https://www.youtube.com/watch?v=pn3xtpCc8uM,1,0,backs only demoted rows,Opposite-Field Teaching Progression
111,P5,RXvrHLb0OII,https://www.youtube.com/watch?v=RXvrHLb0OII,1,0,backs only demoted rows,Rotational Efficiency Drills
112,P5,k7OgmDDosck,https://www.youtube.com/watch?v=k7OgmDDosck,1,0,backs only demoted rows,Skills and Drills for Baserunning
113,P5,9CzbPIQfXmM,https://www.youtube.com/watch?v=9CzbPIQfXmM,1,0,backs only demoted rows,"Teaching the Changeup — Fastball Arm, Slower Ball"
114,P5,Ey7Yr_zDgSI,https://www.youtube.com/watch?v=Ey7Yr_zDgSI,1,0,backs only demoted rows,Three Drill Progression
115,P5,Tjzv5anKEe0,https://www.youtube.com/watch?v=Tjzv5anKEe0,1,0,backs only demoted rows,Top 5 Blocking Drills for Catchers
116,P5,3QfepqKCWFo,https://www.youtube.com/watch?v=3QfepqKCWFo,1,0,backs only demoted rows,Top 5 Catching Drills for 8U
117,P5,RJRjtqWjNnQ,https://www.youtube.com/watch?v=RJRjtqWjNnQ,1,0,backs only demoted rows,Traditional Changeup — Grip & First Throws
118,P5,AeJ3RvgTgvM,https://www.youtube.com/watch?v=AeJ3RvgTgvM,1,0,backs only demoted rows,Youth Baseball Catching Drills
