pathway_slug,pathway_name,stage_number,stage_key,stage_name,current_status,current_drill_count,current_drill_ids,current_drill_names,stage_problem_slugs,teaching_job_missing,existing_library_candidate,existing_candidate_disposition,proposed_activity_name,proposed_category,proposed_problem_slug,proposed_stage_role,evidence_basis,confidence,editorial_decision,notes
"pitching-development","Pitching Development","8","release-point","Release point and extension","THIN","2","93cf7e08-9bd0-48c3-a344-26e092c651e7 94124e82-c8f2-411b-9daa-f0a1a176663e","Towel Drill — Arm Speed & Release Point | Kneel-Down (Wrist Snap) Drill — Release Point & Backspin","inconsistent-release barring-arm short-arming","Nothing canonical.","Towel Drill; Kneel-Down (Wrist Snap) Drill; Wrist Snap Drill (not attached)","ALREADY_COVERED","","","","","Three release-point drills exist and two are attached. The Wrist Snap Drill is mapped to inconsistent-release, which is this stage's problem, and is unattached.","high","MATCH_EXISTING","The brief warns not to map an extension drill onto an early-front-arm-lock problem. Nothing here does that: the mapping used is inconsistent-release, which is what a wandering release point is."
"pitching-development","Pitching Development","9","finish","Finish and follow-through","THIN","2","41ff62cc-fb54-4266-8d0c-083a1c341161 b1c3653c-82a0-446e-a9cb-0dd5ebf09864","Follow-Through Hold Drill — Finishing Strong | Glove-Side Pull Drill — Front Side Control","no-follow-through-throw short-arming","None.","Follow-Through Hold Drill — Finishing Strong; Glove-Side Pull Drill","ALREADY_COVERED","","","","","Follow-Through Hold is the only drill in the library that trains deceleration and the fielding-ready finish, and it trains all of it. Nothing else finishes a delivery.","high","SKIP","A second finish drill would be the same hold with a different name. Two is the honest number and the stage stays THIN."
"pitching-development","Pitching Development","10","momentum-and-tempo","Momentum and tempo","THIN","2","cf56cda8-d397-4ed7-873b-560b78d6473e a54d536f-e4f0-4dd5-91d2-d007bd274250","The Swing Shuffle Drill — Momentum & Rhythm | Balance Point Drill — Leg Lift & Pause","rushing-delivery weak-throws","Nothing canonical.","The Swing Shuffle Drill — Momentum & Rhythm; The Rocker Drill (not attached)","ALREADY_COVERED","","","","","The brief floats a Tempo / Momentum Delivery Drill. Swing Shuffle trains momentum, rhythm, linear drive and weight transfer into the throw. The Rocker Drill trains hip lead and weight shift and is attached only to earlier stages.","high","MATCH_EXISTING","Attach The Rocker Drill as reinforcement in 2F.8. The current second drill is Balance Point as a regression, which is right — tempo problems usually start at the balance point."
"pitching-development","Pitching Development","11","second-pitch","A second pitch","THIN","1","fbbf59c6-6024-5692-9db9-6a0257139f65","Changeup Catch Play","no-changeup","Throwing the second pitch from the mound, in sequence with the fastball, to a hitter.","Changeup Catch Play","DISTINCT_CANONICAL_MISSING","Changeup Off the Mound — Same Arm Speed, Real Sequence","Pitching","no-changeup","progression","One changeup drill exists and it is catch play — grip and arm speed on flat ground. Nothing takes the pitch onto a mound or puts it in a sequence, and the stage is served by a single row.","medium","ADD_CANONICAL","Changeup only. No breaking ball is proposed for this age band and none should be. The row must carry the same arm-speed cue as the catch-play drill or it teaches a slower arm, which is the way a changeup gets hit and an elbow gets sore."
"catching-development","Catching Development","1","receiving-foundation","Quiet glove and soft hands","THIN","2","e7bd95b6-d491-49e2-a383-7fc381e7b0ce 9a6f58a3-0172-47e6-b159-8eb98306f5ca","Youth Receiving Foundations — Quiet Glove & Soft Hands | Two Hand Catch","catcher-receiving","The stance itself — how a catcher sets up before any pitch is received.","Youth Receiving Foundations — Quiet Glove & Soft Hands; Two Hand Catch","DISTINCT_CANONICAL_MISSING","Catcher's Stance — Set Up to Receive","Catching","catcher-receiving","regression","The brief floats Quiet Hands Receiving; the library already has it, named Quiet Glove & Soft Hands, and it is this stage's primary. What is absent is the stance: all six Catching rows assume a catcher already crouched. The stage's second drill is Two Hand Catch, borrowed from Throwing.","medium","ADD_CANONICAL","Distinct from One-Knee Receiving, which is a later setup for a catcher who has outgrown two knees. This is the first one. A stance row is at risk of being TEACHING_CONTENT, so it must carry reps — set up, hold, receive one, reset — or it does not earn a drill row."
"catching-development","Catching Development","2","framing","Framing and working the zone","THIN","2","5f398d5c-6377-4119-b5b7-99b81f4b8028 e7bd95b6-d491-49e2-a383-7fc381e7b0ce","MLB-Style Receiving & Framing Circuit | Youth Receiving Foundations — Quiet Glove & Soft Hands","catcher-receiving","None.","MLB-Style Receiving & Framing Circuit; Youth Receiving Foundations","ALREADY_COVERED","","","","","The framing circuit is five stations on its own — beating the ball to the spot, sticking pitches, working the edges. The foundations drill sits under it as the regression.","high","SKIP","A five-station circuit counted as one drill is why this row reads THIN. Threshold artefact."
"catching-development","Catching Development","3","blocking-technique","Blocking: the shape","THIN","1","babe5481-655c-4c2e-9985-2465937c1067","Blocking the Right Way — Technique to Reaction Reps","catcher-blocking","None.","Blocking the Right Way — Technique to Reaction Reps","VARIATION_ONLY","","","","","The drill carries its own three-stage progression — placed balls, rolled balls, short-hop throws — inside one row. Splitting those into three rows would be slicing one drill, which 2F.4 calls VARIATION_OF and forbids as new canonical content.","high","SKIP","A one-drill stage that is honestly one drill. The coaching value is in the drill's internal stages, which the pathway already points at."
"catching-development","Catching Development","4","blocking-reaction","Blocking at game speed","THIN","2","808e703f-d60e-4a0b-8cbd-845bcb4cc1bb babe5481-655c-4c2e-9985-2465937c1067","Game-Speed Reaction Blocking | Blocking the Right Way — Technique to Reaction Reps","catcher-blocking","None.","Game-Speed Reaction Blocking; Blocking the Right Way","ALREADY_COVERED","","","","","The brief floats Blocking Reaction / Game-Speed Blocking. It exists, it is this stage's primary, and its mechanic_focus already includes read and react, lateral quickness and recovery to throw.","high","SKIP","Adding the brief's candidate would duplicate a row by name."
"catching-development","Catching Development","6","one-knee-setup","The one-knee setup","THIN","2","478cb186-6370-494d-b94a-47136344ccd8 5f398d5c-6377-4119-b5b7-99b81f4b8028","One-Knee Receiving — Advanced Framing Setup | MLB-Style Receiving & Framing Circuit","catcher-receiving","None.","One-Knee Receiving — Advanced Framing Setup; MLB-Style Receiving & Framing Circuit","ALREADY_COVERED","","","","","One drill for the one-knee setup and the two-knee circuit underneath it as the regression. That is the stage.","high","SKIP","Threshold artefact."
"baserunning-development","Baserunning Development","1","out-of-the-box","Out of the box","THIN","2","d358d3cd-7da8-5baf-9843-3fe2a81a6773 b194ff1d-f857-47d5-911c-0bab06c6e6bc","Swing and Sprint | Baseball Dynamic Stretches for Youth Players","slow-first-step base-awareness","Nothing canonical — but the current second drill does not belong to this stage.","Swing and Sprint; Base Running Circuit (not attached); Simple Base Running Drills (not attached)","ALREADY_COVERED","","","","","Swing and Sprint trains the swing-to-sprint transition and running through first — the stage exactly. Base Running Circuit is mapped to slow-first-step and Simple Base Running Drills trains running through first base; neither is attached.","high","MATCH_EXISTING","CURATION DEFECT, mine, from Phase 2E: the reinforcement slot holds Baseball Dynamic Stretches for Youth Players — an Athletic Development row whose job is warming up and which is mapped to cold-arm. That is the category-match error 2E.4 forbids. Detach it in 2F.8 and attach the two rows above."
"baserunning-development","Baserunning Development","2","through-or-around","Through it or around it","THIN","2","92366675-97a6-5d04-b3b6-5a2909ce858f d358d3cd-7da8-5baf-9843-3fe2a81a6773","First Base Decision | Swing and Sprint","bad-base-turns base-awareness","None.","First Base Decision; Swing and Sprint","ALREADY_COVERED","","","","","First Base Decision trains reading the ball out of the box, rounding technique and running through the bag — which is the whole of ""through it or around it"".","high","SKIP","Threshold artefact."
"baserunning-development","Baserunning Development","3","turns-and-angles","Turns and angles","THIN","2","32d3b75f-3d94-4048-b1e1-26a3d87e9449 35a5e10e-9713-4887-ad07-030b421db06f","Base Running Athletic Circuit | Simple Base Running Drills for Youth Practice","bad-base-turns slow-first-step","Nothing canonical.","Base Running Athletic Circuit; Simple Base Running Drills; First Base Decision (not attached here)","ALREADY_COVERED","","","","","First Base Decision carries rounding technique in mechanic_focus and is mapped to bad-base-turns, which is this stage's problem. It is attached to stage 2 only.","high","MATCH_EXISTING","Attach it here as reinforcement in 2F.8. Zero new rows."
"baserunning-development","Baserunning Development","4","sliding-basics","Sliding: the shape","THIN","2","b610bf25-fbc7-46e3-9c8a-16e07224bf70 282be624-51e9-4a06-ab37-7646b0a3da8b","Bent-Leg Slide Basics — The Right Way to Slide | Sliding Practice Stations","cant-slide","None.","Bent-Leg Slide Basics; Sliding Practice Stations","ALREADY_COVERED","","","","","Bent-Leg Slide Basics trains the figure-4 tuck, the start distance and hands up. Sliding Practice Stations gives the volume. Both are mapped to cant-slide.","high","SKIP","Sliding is the one area where a third drill would mean more repetitions on grass in cleats, which is a safety cost and not a coaching gain."
"baserunning-development","Baserunning Development","5","pop-up-slide","Sliding to advance","THIN","2","9335a346-33a3-4bd1-b65c-2664f9c7fcfb b610bf25-fbc7-46e3-9c8a-16e07224bf70","Pop-Up Slide — Slide and Advance | Bent-Leg Slide Basics — The Right Way to Slide","cant-slide base-awareness","Nothing canonical.","Pop-Up Slide; Bent-Leg Slide Basics; Sliding Practice Stations (not attached here)","ALREADY_COVERED","","","","","Sliding Practice Stations trains slide timing and consistent form under control and is attached to stage 4 only.","high","MATCH_EXISTING","Attach as reinforcement in 2F.8. Zero new rows."
"baserunning-development","Baserunning Development","6","leads","Leads","THIN","2","b9bb75c7-9ed0-47ee-9d11-2de953510027 35a5e10e-9713-4887-ad07-030b421db06f","Secondary Lead & Delayed Steal | Simple Base Running Drills for Youth Practice","base-stealing base-awareness","Nothing canonical. Two lead drills are sitting unattached.","Secondary Lead & Delayed Steal; Pro Base-Stealing Package — Leads, Reads & Jumps (not attached); Steal Breaks (not attached)","ALREADY_COVERED","","","","","The Pro Base-Stealing Package trains the primary lead, pitcher tells and jump quality. Steal Breaks trains the crossover step and the reaction to the first move. Both are squarely this stage and neither is linked to it.","high","MATCH_EXISTING","The clearest under-attachment in the audit: the stage reads THIN while the library holds three drills for it. 2F.8 fix, zero new rows."
"baserunning-development","Baserunning Development","8","tagging-up","Tagging up","THIN","1","3e15ab9d-f443-5a82-87df-8c4cc418c2e6","Progressive Tag Up","base-awareness","None.","Progressive Tag Up","VARIATION_ONLY","","","","","Progressive Tag Up is the only drill in the library that trains tagging up, and it carries its own three rounds. A second tagging-up drill would be one of those rounds with a new name.","high","SKIP","One drill, honestly one drill."
"baserunning-development","Baserunning Development","9","reading-the-dirt","Reading a ball in the dirt","THIN","2","3f65e53c-eebc-511c-89a9-23e519dffba0 b9bb75c7-9ed0-47ee-9d11-2de953510027","Wild Pitch Advance | Secondary Lead & Delayed Steal","base-awareness base-stealing","None.","Wild Pitch Advance; Secondary Lead & Delayed Steal","ALREADY_COVERED","","","","","Wild Pitch Advance trains reading a ball in the dirt, the secondary lead and the first step. Secondary Lead sits under it as the regression.","high","SKIP","Threshold artefact."
