drill_id,drill_name,skill_category,instructions_complete,primary_media_present,primary_media_verified,specific_timestamp,generic_compilation,no_media,media_count,drills_sharing_primary_video
babe5481-655c-4c2e-9985-2465937c1067,Blocking the Right Way — Technique to Reaction Reps,Catching,yes,yes,no,no,no,no,1,1
fbbf59c6-6024-5692-9db9-6a0257139f65,Changeup Catch Play,Pitching,yes,no,no,no,no,yes,0,0
93cf7e08-9bd0-48c3-a344-26e092c651e7,Towel Drill — Arm Speed & Release Point,Pitching,yes,yes,no,no,yes,no,1,8
9fea10f7-efb9-4006-bce8-7a6109bb7fbe,Protect the Castle,Fielding (Infield),yes,no,no,no,no,yes,0,0
9d95c228-0f42-487d-bfa0-164df2646c50,9-Exercise J-Band Strength Routine,Arm Care,yes,yes,no,no,no,no,1,1
ef98c922-d86a-46ea-913c-903b41c8ba2e,"Line Relay Race — Catch, Turn, Throw",Team Defense,yes,yes,no,no,no,no,1,1
977c1fd1-12b0-42c6-8b8b-e3a90303e385,Baseball Arm Stretches and Pre-Throwing Warm-Up,Arm Care,yes,yes,no,no,no,no,1,1
dfa91c84-6ce8-4d03-9c5d-4252adc5fe3d,Complete Pitching and Throwing Warm-Up Routine,Arm Care,yes,yes,no,no,no,no,1,1
b67499b8-314b-415f-a789-c0b90f1f9a3f,Post-Throwing Recovery Routine,Arm Care,yes,yes,no,no,no,no,1,1
32d3b75f-3d94-4048-b1e1-26a3d87e9449,Base Running Athletic Circuit,Athletic Development,yes,yes,no,no,yes,no,1,3
9335a346-33a3-4bd1-b65c-2664f9c7fcfb,Pop-Up Slide — Slide and Advance,Baserunning,yes,yes,no,no,no,no,1,1
267777ed-01d2-4985-a4aa-5a1c41299f11,Fun Fielding Drill for Young Players,Fielding (Infield),yes,yes,no,no,no,no,1,1
744a47da-ef0c-42b0-b961-1175aaad42d9,Outfield Drop Step Drill,Fielding (Fly Balls),yes,yes,no,no,no,no,2,1
4cd55f36-4ac8-447a-9633-936c9b1f6c22,Ripken Soft Toss Drill,Soft Toss,yes,yes,no,no,no,no,1,1
35a5e10e-9713-4887-ad07-030b421db06f,Simple Base Running Drills for Youth Practice,Baserunning,yes,yes,no,no,yes,no,1,2
f9d5d796-ce11-4964-bc70-a3ce5f8a607f,Steal Breaks — Reading the Pitcher & First Move,Baserunning,yes,yes,no,no,no,no,2,1
6b13a4df-dc75-417f-89db-578fe99bdf44,Protect the Castle + Throw,Fielding (Infield),yes,no,no,no,no,yes,0,0
aeae3e6a-487e-4f74-874d-edfeb83d3446,The Move-'Em At-Bat — Advancing Runners,Hitting,yes,yes,no,no,no,no,1,1
5abc9df7-d4ad-40d3-b95e-2eb275e82710,PVC Posture Drill,Hitting,no,yes,no,no,no,no,1,1
31af2888-b541-479e-8a0f-78bcb528ea17,Load to Launch Drill,Hitting,no,yes,no,no,no,no,1,1
f1bf25fb-0167-4b61-b196-675b2ba14280,Don't Dump the Barrel,Hitting,no,yes,no,no,no,no,1,1
a54d536f-e4f0-4dd5-91d2-d007bd274250,Balance Point Drill — Leg Lift & Pause,Pitching,yes,yes,no,no,yes,no,2,8
0997fc64-a8e8-44b1-995c-3aa1e0291a99,Baby Steps - Hip Load,Hitting,no,yes,no,no,no,no,1,1
ba7e4b8c-ad36-45bd-9b63-b7b354b9d43d,Freeze at Extension Drill,Hitting,no,yes,no,no,no,no,1,1
e4309ffb-fa02-4c6d-ac87-a6580e8c5bff,High Five Drill — Elbow Up Arm Path Correction,Throwing,yes,yes,no,no,yes,no,1,19
769ab66e-93c9-41bb-8519-91bd3e0ab186,Oppo Tee & Toss — Stay Inside the Ball,Hitting,yes,yes,no,no,no,no,1,1
feb4908a-bcde-4744-9a56-010c49b01072,The Catch Drill — Track & Read Pitches,Hitting,yes,yes,no,no,no,no,1,1
40b34435-fd5f-4263-ae2f-b53083ce4531,Overload/Underload Bat Speed Progression,Hitting,yes,yes,no,no,no,no,1,1
252404f0-38c3-481f-a18b-f7ce0262903f,Stance & Athletic Position Drill,Hitting,yes,yes,no,no,yes,no,1,8
1c406241-97b4-425d-8f16-89ade2dbbc22,Bucket Drill — Stay in Your Legs,Hitting,yes,yes,no,no,yes,no,1,2
9e9405f3-80fb-4ad6-928c-e7749be5e0f6,PVC Pipe Hip Rotation Drill,Hitting,yes,yes,no,no,yes,no,1,8
09efef50-4077-4e64-80cc-e7d31a8aaa23,One-Hand Tee Drill (Bottom Hand),Hitting,yes,yes,no,no,yes,no,1,5
2f5901d2-ed57-4f6b-9dcc-6d1dc6110ef9,Daily Backhand Series,Fielding (Infield),yes,yes,no,no,no,no,1,1
192913af-c080-4361-b20e-f88f29db530f,The Hands Routine — Infield Fielding Drill,Fielding (Infield),yes,yes,no,no,no,no,1,1
6f1ef230-3f1a-4bcd-a969-87be5cdc65ed,Youth Infield Drill (Practice Anywhere),Fielding (Infield),yes,yes,no,no,no,no,1,1
0ddcfd4a-2520-4d3a-ae98-b647bf07c49b,One-Hand Tee Drill (Top Hand),Hitting,yes,yes,no,no,yes,no,1,5
55afb864-a8b0-496c-9b08-3e6805c7902d,Inside-Out Swing Drill (Fence Drill),Hitting,yes,yes,no,no,yes,no,1,5
781605ce-10f5-400c-b7e2-6243915b5da2,Four Cones Ground Ball Drill,Fielding (Infield),yes,yes,no,no,no,no,1,1
c345c3a1-bda3-43f7-b6f3-16e77432ab83,Figure Eight Infield Drill,Fielding (Infield),yes,yes,no,no,no,no,1,1
8f19ecd6-4892-46be-9f0c-b1aef17a86d6,Knee Drill (Rotational Load),Hitting,yes,yes,no,no,yes,no,1,10
26332028-2d32-4f42-817e-c8628f2bdbcd,Catch and Crush Drill — Stay Closed,Hitting,yes,yes,no,no,yes,no,1,6
a50f834a-2912-4b0d-9da2-e6856760b644,Frisbee Drill — Hip Rotation & Finish,Hitting,yes,yes,no,no,yes,no,1,6
7bff401e-095e-447b-83e8-bc6cc750c85d,Barry Larkin / Walk-Through Power Drill,Hitting,yes,yes,no,no,yes,no,1,6
f5a6bed9-86d9-4578-85f9-8449c0fc1e33,Two-Tee Drill — Contact at Different Heights,Hitting,yes,yes,no,no,yes,no,1,8
ca7017e4-6fa1-4440-8d93-e08dd55eeaa8,Two-Strike Hitting Adjustment Drill,Hitting,yes,yes,no,no,yes,no,1,6
6c2e8d58-e7f0-4727-b561-cb61bca27e25,First Base Footwork & Throw Adjustments,Fielding (Infield),yes,yes,no,no,no,no,1,1
ac27e607-b52e-4865-8240-5a9b7795a410,The Swing Rail / Stay Inside the Ball Drill,Hitting,yes,yes,no,no,yes,no,1,8
9300e679-69a7-4757-b74d-172103654860,Tee Work — Ball Out In Front,Hitting,yes,yes,no,no,yes,no,1,8
7a2a344c-b2d7-4bf6-b0a2-e1dec8d835ab,Line Drive Pro / Visual Feedback Swing Drill,Hitting,yes,yes,no,no,yes,no,1,8
40eebd5c-d2ab-4245-92bc-5cf73e68ba87,Back Knee Down - Stay Centered,Hitting,no,yes,no,no,no,no,1,1
6a2c9dc7-f08c-47fd-9a08-f9e117f466cb,Tee Work,Hitting,no,yes,no,no,yes,no,2,8
5afa81e5-ec55-4066-b62f-1b535884060b,"Advanced First Base — Off-Line Throws, Picks & Short Hops",Fielding (Infield),yes,yes,no,no,no,no,1,1
37f0c306-4c6c-4fa6-8491-96fa90893be9,Little League Cuts & Relays System,Team Defense,yes,yes,no,no,no,no,1,1
dac833d7-c4f6-42ce-8409-ea83dd77fa65,Two-Base Pickle Drill,Team Defense,yes,yes,no,no,no,no,1,1
ab8f57ca-ebf4-49b7-8f08-e62e5dd54a3f,Dynamic Warm-Up with Arm Stretches,Warmup,yes,yes,no,no,no,no,1,1
fbbe6484-8b9d-486b-839e-23114e600c77,Groundball Transfer Catch,Fielding (Infield),yes,yes,no,no,no,no,1,1
b3534518-f0df-4f30-8378-0b7d084e5fb9,Infield Throwing Drill,Fielding (Infield),yes,yes,no,no,no,no,1,1
adf1d78d-fbe5-417c-a2d0-5860e555b356,The Best Youth Infield Drill,Fielding (Infield),yes,yes,no,no,no,no,1,1
d6a3170b-ec74-4e4f-96df-64fba2aed225,Warm-Up Catch,Throwing,yes,yes,no,no,yes,no,1,10
91bc52cf-a234-4ad3-97a6-6df6038c752c,Game-Speed Rundown Execution,Team Defense,yes,yes,no,no,no,no,1,1
e5d28c39-30b0-48fd-9534-8a43cd8154db,Hip Lead Drill,Pitching,no,yes,no,no,yes,no,1,19
5b5b59e9-4906-4ba5-ad8b-1e9608041ef5,Partner Catch,Throwing,yes,yes,no,no,yes,no,1,10
9a6f58a3-0172-47e6-b159-8eb98306f5ca,Two Hand Catch,Throwing,yes,yes,no,no,yes,no,1,3
e40632d7-5ffb-42e9-9652-bd9a49e68ff5,Quick Hands Drill,Throwing,yes,yes,no,no,yes,no,1,19
3cc99259-c968-4977-bd66-c168250a27b8,Wall Ball,Throwing,yes,yes,no,no,yes,no,1,19
4e1975e2-eb6b-49a8-9d29-0b9d0afd2f68,Simple Throwing Progressions,Throwing,yes,yes,no,no,no,no,1,1
4c68b693-a617-4827-a732-653c2a64a27d,The Flamingo Drill,Fielding (Infield),yes,yes,no,no,no,no,2,1
0833de14-902c-408a-a3a9-a8c4df28c4f1,Cross-Shuffle Drill,Fielding (Infield),yes,yes,no,no,no,no,1,1
29276b7a-fd04-45ff-825d-1d715d384908,Fly Ball Drill with Cones,Fielding (Fly Balls),no,yes,no,no,no,no,1,1
6517d249-a27d-41af-a86e-72bb8187c28b,The Cone Drill,Fielding (Infield),yes,yes,no,no,no,no,1,1
663dc298-e5f2-4ea8-9d6d-6812e652cf28,Fun Baseball Throwing Drill,Throwing,yes,yes,no,no,no,no,1,1
2ac95ee1-db4f-4ab1-b2ec-569a5419b6ef,Second Baseman Flip/Throw Combo,Throwing,yes,yes,no,no,no,no,1,1
ecf4c61b-0b8b-49bd-bbe5-697d42991d79,Base Running Circuit,Baserunning,no,yes,no,no,yes,no,1,3
09b8ebeb-a43d-40db-b1ae-eaa44e48f82c,EASY Baseball Catch Drill — First Catch Fundamentals,Throwing,yes,yes,no,no,yes,no,1,3
69d859e5-5214-4b2d-b42f-07fcc56ff519,"Throwing Progression for Youth Players — Knee, Hip, Full",Throwing,yes,yes,no,no,yes,no,1,10
b610bf25-fbc7-46e3-9c8a-16e07224bf70,Bent-Leg Slide Basics — The Right Way to Slide,Baserunning,yes,yes,no,no,no,no,2,1
726384a7-dacf-440b-8b42-381843a01722,Over-Under — Two Ways to Throw and Catch,Throwing,yes,yes,no,no,yes,no,1,10
3269f5db-7541-42a7-b085-0b209f0dd8a6,Bullseye Challenge — Throwing Accuracy Competition,Throwing,yes,yes,no,no,yes,no,1,10
b9bb75c7-9ed0-47ee-9d11-2de953510027,Secondary Lead & Delayed Steal,Baserunning,yes,yes,no,no,no,no,1,1
3a2f690d-095d-46ea-98e8-088a7a7ea7db,Throwing Accuracy Race — Competitive Catch Under Pressure,Throwing,yes,yes,no,no,yes,no,1,10
f1e620a8-1016-4097-b104-502ddcab967a,Selfies Solo Rebounder — Build Reps Without a Partner,Throwing,yes,yes,no,no,yes,no,1,10
d4efaaad-808d-4e4f-8539-9c56c5c1835a,Clean Up Crew — Fun Fielding-to-Throw Game,Throwing,yes,yes,no,no,yes,no,1,10
a663b235-d115-4a52-a9d4-b33ba37e0e2a,Foul Line Throw — First Throw Introduction for Beginners,Throwing,yes,yes,no,no,yes,no,1,10
3df6814c-4d77-4592-8693-9fd419ded05c,8 Baseball Warm-Up Exercises You Must Do,Warmup,yes,yes,no,no,no,no,1,1
b194ff1d-f857-47d5-911c-0bab06c6e6bc,Baseball Dynamic Stretches for Youth Players,Athletic Development,yes,yes,no,no,no,no,1,1
0e5e88b4-7b3c-4325-b658-179e638a8c24,One Hand Drill,Hitting,no,yes,no,no,yes,no,1,5
eec48dc4-af21-406e-95a2-9db5e22b7596,Front Toss,Hitting,no,yes,no,no,yes,no,1,8
2da70c16-18d3-4b63-8eca-12804ac048ea,"Calm Rundowns — Push Back, Follow Your Throw",Team Defense,yes,yes,no,no,no,no,1,1
84930859-7689-4f1f-a9ba-5e71b4991af9,Quick Hands Quick Feet — Fast Transfer Drill,Throwing,yes,yes,no,no,yes,no,1,19
6759598d-9bfc-47b2-91f1-31c77fc97cb5,Kneel-Down Throw — Isolating Upper Body and Wrist Snap,Throwing,yes,yes,no,no,yes,no,1,10
ba88a3cd-b2ae-430b-bd5e-d06c53f58838,High Tee Drill — Hitting Up in the Zone,Hitting,yes,yes,no,no,yes,no,1,10
037c8a5a-327f-42cf-a2a1-bd550fed9e68,High Tee,Hitting,no,yes,no,no,yes,no,1,10
4fa59dec-86b0-46f7-bb31-f59382b1e9f4,Bounce Toss / Angled Toss Drill,Hitting,yes,yes,no,no,yes,no,1,6
5381544c-f5e5-4e30-a9e8-fe049a090a07,Happy Gilmore / Walking Load Drill,Hitting,yes,yes,no,no,yes,no,1,6
b1f220a4-fdc3-4750-810f-b431e0c8a16f,Cutoff Responsibilities by Situation,Team Defense,yes,yes,no,no,no,no,1,1
50087451-2665-4c78-b968-ca56e9ceec3b,Point-and-Go Glove Drill — Align Your Body to the Target,Throwing,yes,yes,no,no,yes,no,1,10
2b5adf22-f8b1-4cfe-87e9-fe7ec1a1957e,Long Toss Progression — Building Arm Strength Safely,Throwing,yes,yes,no,no,yes,no,1,19
b22aa9c8-7cd1-4dc0-bba3-c66b03396e21,The Heel-Toe Drill — Front Foot Landing,Pitching,yes,yes,no,no,yes,no,1,19
6d491e2a-be0d-4c9a-94c4-6d66f6d6bfb8,The Track and Catch Drill — Head on the Ball,Hitting,yes,yes,no,no,yes,no,1,6
a559ea0e-7d73-4920-905f-ccb86e117f4e,Flamingo Balance Drill — Single-Leg Stability,Pitching,yes,yes,no,no,yes,no,1,8
94124e82-c8f2-411b-9daa-f0a1a176663e,Kneel-Down (Wrist Snap) Drill — Release Point & Backspin,Pitching,yes,yes,no,no,yes,no,1,10
ce798b52-883f-4cf3-a6b8-311ef084a1be,Funnel Drill — Correct Arm Path Out of the Glove,Throwing,yes,yes,no,no,yes,no,1,19
b1c3653c-82a0-446e-a9cb-0dd5ebf09864,Glove-Side Pull Drill — Front Side Control,Pitching,yes,yes,no,no,yes,no,1,19
f47eba7c-bf41-4e1a-8a65-882f6fdcb0b1,Stride Direction Drill — Using a Chalk Line or Tape,Pitching,yes,yes,no,no,yes,no,1,10
77722605-74bc-44b8-9581-fdd1c7d9a4d3,Wrist Snap Drill,Pitching,no,yes,no,no,yes,no,1,10
3f2af696-fe22-4fb6-936f-fefe7d86681a,Long Toss,Throwing,yes,yes,no,no,yes,no,1,19
d873c9db-09cd-406c-b53b-fbd6d5033185,Wall Ball Solo Drill — Partner-Free Mechanics Builder,Throwing,yes,yes,no,no,yes,no,1,19
d685834e-1b6a-45ad-b06a-d7cf63447eef,First Base Fundamentals — Finding the Bag & the Stretch,Fielding (Infield),yes,yes,no,no,no,no,1,1
f35c8a06-d0e9-4a8b-ac8a-efffb204f026,Stride Pause to Stride Swing Drill,Hitting,yes,yes,no,no,yes,no,1,8
ee6aa905-1e2c-4f96-8eff-4dc22fc01d4f,Mini Wiffle Ball & Skinny Bat Drill,Hitting,yes,yes,no,no,yes,no,1,8
e597ce36-5625-42f2-a378-30052499bb18,Low Tee,Hitting,no,yes,no,no,yes,no,1,8
0200c065-9f6f-4a76-bd9a-22e46141a6ce,The Ankle Eye Drill — Footwork Foundation,Throwing,yes,yes,no,no,yes,no,1,10
253fee8d-d86f-497b-83db-44e622fb0a2d,4-Part Windup Drill — Breaking Down the Delivery,Pitching,yes,yes,no,no,yes,no,1,10
cf56cda8-d397-4ed7-873b-560b78d6473e,The Swing Shuffle Drill — Momentum & Rhythm,Pitching,yes,yes,no,no,yes,no,1,19
971dccd3-bc0f-4043-9e2d-3417fc6f7361,Double-Play Feeds & Turns,Fielding (Infield),yes,yes,no,no,no,no,1,1
2d15c6de-d4a9-414a-9755-533140dd68b0,Three-Ball Slow Roller Drill,Fielding (Infield),yes,yes,no,no,no,no,1,1
0c9a28d6-8fcf-4000-82fa-a1216ed45916,Flyball Communication Drill,Fielding (Fly Balls),no,yes,no,no,no,no,1,1
ce379eeb-fa92-47f0-b41f-dd3831ebc5bc,Youth J-Band Routine — Pre-Throwing Activation,Arm Care,yes,yes,no,no,no,no,1,1
478cb186-6370-494d-b94a-47136344ccd8,One-Knee Receiving — Advanced Framing Setup,Catching,yes,yes,no,no,no,no,1,1
