pathway,stage_number,stage_name,stage_objective,primary_drill_count,regression_count,reinforcement_count,progression_count,assessment_count,game_application_count,taxonomy_problem_count,mastery_signal_present,evidence_strength,status,gap_notes
catching-development,5,The throw to second,Transfers during the footwork and delivers an accurate throw to the bag.,1,1,1,0,0,0,2,yes,strong,READY,
catching-development,6,The one-knee setup,Receives from one knee while staying able to block and throw.,1,1,0,0,0,0,1,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
baserunning-development,1,Out of the box,"Moves toward first on contact, without watching the ball.",1,0,1,0,0,0,2,yes,moderate,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, reinforcement), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
baserunning-development,2,Through it or around it,Decides before the bag whether to run through first or round it.,1,1,0,0,0,0,2,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
baserunning-development,3,Turns and angles,Hits the inside corner of each base and stays low through the turn.,1,0,1,0,0,0,2,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, reinforcement), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
baserunning-development,4,Sliding: the shape,Slides on the seat in a figure-four with both hands up.,1,0,1,0,0,0,1,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, reinforcement), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
baserunning-development,5,Sliding to advance,Finishes the slide on their feet and reads whether to take the next base.,1,1,0,0,0,0,2,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
baserunning-development,6,Leads,Takes a primary and a secondary lead timed to the pitch.,1,1,0,0,0,0,2,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
baserunning-development,7,Reading the pitcher,"Breaks on the pitcher's first move toward home, not on a guess.",1,1,0,1,0,0,1,yes,strong,READY,
baserunning-development,8,Tagging up,"Leaves on the catch — not before it, not a beat after.",1,0,0,0,0,0,1,yes,strong,THIN,"THIN. One drill serves this stage. Its own three rounds carry the progression, but a coach has no second station to rotate a group through."
baserunning-development,9,Reading a ball in the dirt,Advances only when the ball actually gets past the catcher.,1,1,0,0,0,0,2,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
baserunning-development,10,Running the bases in a game,Makes the right call on every base without a coach telling them.,1,0,2,0,0,1,3,yes,strong,READY,
