collection_drill_id,collection_name,skill_category,source_video,candidate_activity_name,candidate_canonical_match,canonical_match_id,action,timestamp_candidate,timestamp_evidence,notes
1be09ab8-a1a3-45ca-945b-b7b26585c379,Top 5 Catching Drills for 8U,Catching,3QfepqKCWFo,Five unnamed 8U catching drills,,,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass",No drill is named in the row. Nothing extractable without viewing.
e709ba50-5004-4e9c-a2b6-3abffa809e78,Youth Baseball Catching Drills,Catching,AeJ3RvgTgvM,"Receiving, blocking and throwing",,,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass","Three subjects, no named drills. Likely overlaps rows the library already has."
19e2c8a9-d4a2-48bc-a511-0471f030d2e2,3 Great Outfield Drills for Youth Players,Fielding (Fly Balls),ZMuVnmUY2CI,Drop step mechanics,Outfield Drop Step Drill,744a47da-ef0c-42b0-b961-1175aaad42d9,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named in the description and already a canonical row.
19e2c8a9-d4a2-48bc-a511-0471f030d2e2,3 Great Outfield Drills for Youth Players,Fielding (Fly Balls),ZMuVnmUY2CI,Fly ball tracking,Fly Ball Confidence Ladder,3013e235-fd0a-5e1a-82a8-94bd2384f9d4,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass","Related to the rescue activity written in migration 063, but tracking and confidence are not the same drill. Worth viewing before deciding whether this is a second row or a progression of the ladder."
19e2c8a9-d4a2-48bc-a511-0471f030d2e2,3 Great Outfield Drills for Youth Players,Fielding (Fly Balls),ZMuVnmUY2CI,Catch-to-throw transition,,,NEW_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass","Named. The library has a do-or-die charge on the ground and a crow hop, but nothing on catching a fly ball already moving into the throw."
97efe128-5367-4ad5-959e-9c32f3b565e3,Essential Outfield Drills — Fly Balls and Ground Balls,Fielding (Fly Balls),WUIM8NqNETg,Crow hop mechanics,Crow Hop — Arm Strength and Outfield Throwing,73f5fef2-af64-4577-998d-da854cebb0cf,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
97efe128-5367-4ad5-959e-9c32f3b565e3,Essential Outfield Drills — Fly Balls and Ground Balls,Fielding (Fly Balls),WUIM8NqNETg,Outfield ground ball technique,Do-or-Die Charge & Throw,daea5efc-42ce-4a83-9f07-a867dd6fbddd,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; the existing row is the game-situation version of it.
97efe128-5367-4ad5-959e-9c32f3b565e3,Essential Outfield Drills — Fly Balls and Ground Balls,Fielding (Fly Balls),WUIM8NqNETg,Catching position for quick transition,,,NEW_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass","Named separately from the crow hop — where the catch is made so the throw can start, which no row covers."
8f9473e4-ff47-41cd-96b1-756aa76a3379,2 Outfield Drills for Fly Balls,Fielding (Fly Balls),sDhB2fAoQsA,Two unnamed fly ball drills,,,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass",Neither drill is named.
79c17c8e-3331-4930-a729-a0d18196cf73,3 Great Drills for Teaching Fly Balls,Fielding (Fly Balls),Lnfgd_ld_CM,Three unnamed progressive drills,,,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass","Progressive by description, unnamed. Probable overlap with the Fly Ball Confidence Ladder."
f0c8b459-6bb1-499b-8fae-3969e7917846,3 Simple Fielding Drills for Youth Players,Fielding (Infield),EZtJ9JNPE2k,Proper fielding stance / getting low,The Flamingo Drill,4c68b693-a617-4827-a732-653c2a64a27d,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",The stance-and-posture segment is what The Flamingo Drill already teaches.
f0c8b459-6bb1-499b-8fae-3969e7917846,3 Simple Fielding Drills for Youth Players,Fielding (Infield),EZtJ9JNPE2k,Receiving with correct hand position,Groundball Transfer Catch,fbbe6484-8b9d-486b-839e-23114e600c77,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass",Hand position on the receive; the existing row covers the transfer that follows it. May be the same drill or its first half.
64c760e9-fb4d-449a-ba23-81dd057e0b11,4 High-Energy Infield Drills,Fielding (Infield),U9Gr4OnGJQA,Four unnamed high-tempo drills,,,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass","None named. High-tempo infield work is the thinnest part of the library, so this one is worth viewing first."
270f1772-259d-4a05-8376-6b993d20137b,Three Drill Progression,Fielding (Infield),Ey7Yr_zDgSI,Three unnamed progression drills,,,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass",Explicitly three separate drills; none named.
abd7b4c8-d0a6-4ae5-ba4d-81b816da87c0,7 Best Youth Baseball Hitting Drills,Hitting,UeJpXF55kvs,Stance Drill,Stance & Athletic Position Drill,252404f0-38c3-481f-a18b-f7ce0262903f,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists (its duplicate is already marked).
abd7b4c8-d0a6-4ae5-ba4d-81b816da87c0,7 Best Youth Baseball Hitting Drills,Hitting,UeJpXF55kvs,Stride Pause to Stride Swing,Stride Pause to Stride Swing Drill,f35c8a06-d0e9-4a8b-ac8a-efffb204f026,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
abd7b4c8-d0a6-4ae5-ba4d-81b816da87c0,7 Best Youth Baseball Hitting Drills,Hitting,UeJpXF55kvs,PVC Drill for swing axis,PVC Pipe Hip Rotation Drill,9e9405f3-80fb-4ad6-928c-e7749be5e0f6,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
abd7b4c8-d0a6-4ae5-ba4d-81b816da87c0,7 Best Youth Baseball Hitting Drills,Hitting,UeJpXF55kvs,Mini Wiffle Ball with skinny bat,Mini Wiffle Ball & Skinny Bat Drill,ee6aa905-1e2c-4f96-8eff-4dc22fc01d4f,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
abd7b4c8-d0a6-4ae5-ba4d-81b816da87c0,7 Best Youth Baseball Hitting Drills,Hitting,UeJpXF55kvs,Heavy Ball Drill,,,NEW_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass","Named and genuinely absent. Distinct from the overload/underload bat protocol — this loads the BALL, not the bat."
0d6f53b2-ca7d-45ae-b0d2-eac1d8c13f9a,10 Best Baseball Hitting Drills for Kids,Hitting,gOE484Meo_o,Tee work,Tee Work,6a2c9dc7-f08c-47fd-9a08-f9e117f466cb,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named as a category; canonical row exists.
0d6f53b2-ca7d-45ae-b0d2-eac1d8c13f9a,10 Best Baseball Hitting Drills for Kids,Hitting,gOE484Meo_o,Soft toss variations,Soft Toss,fe94a671-1d24-40fe-9771-4c7f5f708c14,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named as a category; canonical row exists.
0d6f53b2-ca7d-45ae-b0d2-eac1d8c13f9a,10 Best Baseball Hitting Drills for Kids,Hitting,gOE484Meo_o,Fun competitive drills,The Track and Catch Drill — Head on the Ball,6d491e2a-be0d-4c9a-94c4-6d66f6d6bfb8,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Two drills were already extracted from this video in an earlier pass — proof that a collection video really does contain genuine activities.
ebd5359b-cccd-4249-b2d9-6e66987535eb,10 Best Baseball Hitting Drills for Kids,Hitting,gOE484Meo_o,The same ten drills as the row above,,,NOT_USEFUL,,"none — no transcript, chapter data or verified viewing in this pass",The second of two rows on one video with the same contents. Already marked a duplicate candidate in the Phase 1 audit; nothing further to extract.
0339e559-16cd-4912-94f6-a895ab8dc119,5 Essential Hitting Drills for Youth Baseball,Hitting,3NqJh3hfYZc,Five unnamed drills with swing analysis,,,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass",The row describes the teaching method rather than naming the drills.
f94e3f9c-0bd7-41a4-9479-c1ffcbaf5212,Fundamentals of Hitting — Coach's Clinic,Hitting,5hYYRufn40s,"Full clinic, sequential fundamentals",,,NOT_USEFUL,,"none — no transcript, chapter data or verified viewing in this pass","A coach-education clinic, not a set of extractable player activities. Its value is as teaching content for a coach, which is what it is now classified as."
8219d6db-fbe4-4ee2-93e5-4b5ecd46b12c,Must-Do Youth Pitching Drills for Beginners,Pitching,McHb2hXrTrE,Balance Point Drill,Balance Point Drill — Leg Lift & Pause,a54d536f-e4f0-4dd5-91d2-d007bd274250,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
8219d6db-fbe4-4ee2-93e5-4b5ecd46b12c,Must-Do Youth Pitching Drills for Beginners,Pitching,McHb2hXrTrE,Knee Drill,Kneel-Down (Wrist Snap) Drill — Release Point & Backspin,94124e82-c8f2-411b-9daa-f0a1a176663e,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
8219d6db-fbe4-4ee2-93e5-4b5ecd46b12c,Must-Do Youth Pitching Drills for Beginners,Pitching,McHb2hXrTrE,Stride Drill,Stride Direction Drill — Using a Chalk Line or Tape,f47eba7c-bf41-4e1a-8a65-882f6fdcb0b1,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
7563acaf-50dc-4e28-b332-764a6a31c932,9 Best Pitching Drills for Kids,Pitching,ImeXGqKYP7Y,Flamingo,Flamingo Balance Drill — Single-Leg Stability,a559ea0e-7d73-4920-905f-ccb86e117f4e,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
7563acaf-50dc-4e28-b332-764a6a31c932,9 Best Pitching Drills for Kids,Pitching,ImeXGqKYP7Y,Towel Slap,Towel Drill — Arm Speed & Release Point,93cf7e08-9bd0-48c3-a344-26e092c651e7,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
7563acaf-50dc-4e28-b332-764a6a31c932,9 Best Pitching Drills for Kids,Pitching,ImeXGqKYP7Y,Kneel of Fortune,Kneel-Down (Wrist Snap) Drill — Release Point & Backspin,94124e82-c8f2-411b-9daa-f0a1a176663e,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass","Both isolate upper-body rotation from the knees, but the names differ enough that they may be two drills. Worth viewing."
7563acaf-50dc-4e28-b332-764a6a31c932,9 Best Pitching Drills for Kids,Pitching,ImeXGqKYP7Y,Balance Beam (cones for stride path),,,NEW_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named and absent. The library has a chalk-line stride drill; a cone corridor is a different constraint and a different setup.
868fa15d-bfde-4487-83af-d5b27e8962ba,9 Best Pitching Drills for Kids — Full Progression,Pitching,ImeXGqKYP7Y,The same nine drills as the row above,,,NOT_USEFUL,,"none — no transcript, chapter data or verified viewing in this pass",The second of two rows on video ImeXGqKYP7Y with the same nine drills under a different title. Already marked a duplicate candidate in the Phase 1 audit; extract from the other row.
1176adaf-60f6-4dc1-a596-f30773a9c5be,5 Youth Pitching Drills From Your Knees,Pitching,Sx15PJz027o,Five unnamed from-the-knees drills,,,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass",None named; probable overlap with the kneel-down row.
6955e8e1-756d-4f11-a1ca-0675527ebc9e,Indoor Team Pitching Drills,Pitching,TPIs68iqZVA,Unnamed indoor team drills,,,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass",Grouped by venue rather than by activity. Indoor-viable pitching work is a real gap worth filling.
9611311a-34f7-444d-a98c-44b689a181b6,Rotational Efficiency Drills,Pitching,RXvrHLb0OII,Two unnamed rotational drills,,,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass",Neither named.
455f390b-dd25-4389-a65d-9485f7b6fa53,10 Best Baseball Throwing Drills for Kids,Throwing,YRAjMC5F4sg,Extreme Catch,Extreme Catch — Progressive Distance Arm Builder,012241e0-c2ce-4a32-b037-39f90bd35437,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
455f390b-dd25-4389-a65d-9485f7b6fa53,10 Best Baseball Throwing Drills for Kids,Throwing,YRAjMC5F4sg,Selfies,Selfies Solo Rebounder — Build Reps Without a Partner,f1e620a8-1016-4097-b104-502ddcab967a,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
455f390b-dd25-4389-a65d-9485f7b6fa53,10 Best Baseball Throwing Drills for Kids,Throwing,YRAjMC5F4sg,Over Under,Over-Under — Two Ways to Throw and Catch,726384a7-dacf-440b-8b42-381843a01722,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
455f390b-dd25-4389-a65d-9485f7b6fa53,10 Best Baseball Throwing Drills for Kids,Throwing,YRAjMC5F4sg,Clean Up Crew,Clean Up Crew — Fun Fielding-to-Throw Game,d4efaaad-808d-4e4f-8539-9c56c5c1835a,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
455f390b-dd25-4389-a65d-9485f7b6fa53,10 Best Baseball Throwing Drills for Kids,Throwing,YRAjMC5F4sg,Bullseye,Bullseye Challenge — Throwing Accuracy Competition,3269f5db-7541-42a7-b085-0b209f0dd8a6,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
02521925-f738-4f32-a8e5-cc2951732244,10 Best Baseball Throwing Drills for Kids — Full Progression,Throwing,YRAjMC5F4sg,The same ten activities as the row above,,,NOT_USEFUL,,"none — no transcript, chapter data or verified viewing in this pass",A second row on the same video with the same contents. Nothing further to extract; already marked a duplicate candidate in the Phase 1 audit.
a9b479c8-a255-4886-b35f-02986820de03,Skills and Drills for Baserunning,Baserunning,k7OgmDDosck,Leads,"Pro Base-Stealing Package — Leads, Reads & Jumps",4106c25c-beeb-4d11-b1aa-eb9aa85978ae,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named as a subject; the existing row covers leads and reads.
a9b479c8-a255-4886-b35f-02986820de03,Skills and Drills for Baserunning,Baserunning,k7OgmDDosck,Reading pitchers,Steal Breaks — Reading the Pitcher & First Move,f9d5d796-ce11-4964-bc70-a3ce5f8a607f,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
a9b479c8-a255-4886-b35f-02986820de03,Skills and Drills for Baserunning,Baserunning,k7OgmDDosck,Sliding,Bent-Leg Slide Basics — The Right Way to Slide,b610bf25-fbc7-46e3-9c8a-16e07224bf70,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; canonical row exists.
