drill_name,category,difficulty,progression,minutes,confidence,basis,evidence
"The Best Youth Infield Drill","Fielding (Infield)","Intermediate",3,10,LOW,"category model","no reps_guidance; Fielding (Infield) assumed 24 reps @ 15s x1 pace, setup 3m base +2m Medium-large"
"Cross-Shuffle Drill","Fielding (Infield)","Intermediate",3,10,LOW,"category model","no reps_guidance; Fielding (Infield) assumed 24 reps @ 15s x1 pace, setup 3m base +1m Medium"
"Figure Eight Infield Drill","Fielding (Infield)","Intermediate",3,10,LOW,"category model","no reps_guidance; Fielding (Infield) assumed 24 reps @ 15s x1 pace, setup 3m base +1m Medium"
"Three Drill Progression","Fielding (Infield)","Intermediate",3,10,LOW,"category model","no reps_guidance; Fielding (Infield) assumed 24 reps @ 15s x1 pace, setup 3m base +1m Medium"
"Groundball Transfer Catch","Fielding (Infield)","Intermediate",3,10,LOW,"category model","no reps_guidance; Fielding (Infield) assumed 24 reps @ 15s x1 pace, setup 3m base +1m Medium"
"The Cone Drill","Fielding (Infield)","Intermediate",3,10,LOW,"category model","no reps_guidance; Fielding (Infield) assumed 24 reps @ 15s x1 pace, setup 3m base +1m Medium +1m equipment"
"3 Great Drills for Teaching Fly Balls","Fielding (Fly Balls)","Beginner",2,10,LOW,"category model","no reps_guidance; Fielding (Fly Balls) assumed 11 reps @ 25s x0.9 pace, setup 3m base +2m Outfield/large"
"How to Catch a Fly Ball With Confidence","Fielding (Fly Balls)","Intermediate",3,10,LOW,"category model","no reps_guidance; Fielding (Fly Balls) assumed 11 reps @ 25s x1 pace, setup 3m base +2m Outfield/large"
"2 Outfield Drills for Fly Balls","Fielding (Fly Balls)","Intermediate",3,10,LOW,"category model","no reps_guidance; Fielding (Fly Balls) assumed 11 reps @ 25s x1 pace, setup 3m base +2m Outfield/large"
"Soft Toss","Hitting","Beginner",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"Fly Ball Drill with Cones","Fielding (Fly Balls)","Intermediate",3,10,LOW,"category model","no reps_guidance; Fielding (Fly Balls) assumed 11 reps @ 25s x1 pace, setup 3m base +2m Outfield/large +1m equipment"
"Blocking the Right Way — Technique to Reaction Reps","Catching","Intermediate",3,10,MED,"reps","reps_guidance ""3 sets of 8 blocks (middle, glove-side, arm-side)"" -> 24 reps @ 12s x1 pace, setup 4m base +1m equipment"
"Catching For Beginners (Jingle)","Catching","Beginner",2,10,LOW,"category model","no reps_guidance; Catching assumed 30 reps @ 12s x0.9 pace, setup 4m base"
"Top 5 Catching Drills for 8U","Catching","Beginner",2,10,LOW,"category model","no reps_guidance; Catching assumed 30 reps @ 12s x0.9 pace, setup 4m base"
"Youth Baseball Catching Drills","Catching","Intermediate",3,10,LOW,"category model","no reps_guidance; Catching assumed 30 reps @ 12s x1 pace, setup 4m base"
"How to Add Base Running Into Practice","Baserunning","Intermediate",3,12,LOW,"category model","no reps_guidance; Baserunning assumed 12.5 reps @ 30s x1 pace, setup 3m base +2m Full field"
"Base Running Circuit","Baserunning","Intermediate",3,12,LOW,"category model","no reps_guidance; Baserunning assumed 12.5 reps @ 30s x1 pace, setup 3m base +2m Full field"
"Fastest Technique Running Out of the Box","Baserunning","Intermediate",3,12,LOW,"category model","no reps_guidance; Baserunning assumed 12.5 reps @ 30s x1 pace, setup 3m base +2m Full field"
"Skills and Drills for Baserunning","Baserunning","Intermediate",3,12,LOW,"category model","no reps_guidance; Baserunning assumed 12.5 reps @ 30s x1 pace, setup 3m base +2m Full field"
"7 Best Youth Baseball Hitting Drills","Hitting","Beginner",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m Medium +2m equipment"
"One Hand Hitting Drill","Hitting","Intermediate",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base +1m equipment"
"10 Best Baseball Hitting Drills for Kids","Hitting","Beginner",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m Medium +2m equipment"
"How to Hit a Baseball Step by Step","Hitting","Beginner",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"Must-Do Youth Pitching Drills for Beginners","Pitching","Beginner",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m Medium +1m equipment"
"9 Best Pitching Drills for Kids","Pitching","Beginner",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m Medium +1m equipment"
"The Rocker Drill for Pitching","Pitching","Intermediate",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x1 pace, setup 4m base +1m Medium +1m equipment"
"Game-Speed Reaction Blocking","Catching","Advanced",4,15,MED,"reps","reps_guidance ""3 rounds of 10 random blocks, scored"" -> 30 reps @ 12s x1.25 pace, setup 4m base +1m equipment +2m game speed"
"Catcher Throw-Down Footwork to Second","Catching","Advanced",4,12,MED,"reps","reps_guidance ""3 sets of 6 throw-downs, timed"" -> 18 reps @ 12s x1.25 pace, setup 4m base +2m Full field +1m equipment +2m game speed"
"Bent-Leg Slide Basics — The Right Way to Slide","Baserunning","Beginner",1,8,MED,"reps","reps_guidance ""10-15 slides per session, building speed gradually"" -> 12.5 reps @ 30s x0.9 pace, setup 3m base"
"Sliding Practice Stations","Baserunning","Intermediate",3,10,MED,"reps","reps_guidance ""2 rounds of 6-8 slides per station"" -> 14 reps @ 30s x1 pace, setup 3m base +1m Medium"
"Pop-Up Slide — Slide and Advance","Baserunning","Advanced",4,12,MED,"reps","reps_guidance ""8-10 pop-up slides, last 4 with an overthrow read"" -> 9 reps @ 30s x1.25 pace, setup 3m base +1m Medium +2m game speed"
"Tee Drill","Hitting","Beginner",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m equipment"
"10 Best Baseball Throwing Drills for Kids","Throwing","Beginner",3,10,MED,"reps","reps_guidance ""Pick 2 drills, 10 throws each"" -> 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"Steal Breaks — Reading the Pitcher & First Move","Baserunning","Intermediate",3,12,MED,"reps","reps_guidance ""3 rounds of 6 breaks (react to leg lift, first move, pickoff mix)"" -> 18 reps @ 30s x1 pace, setup 3m base +1m Medium"
"Secondary Lead & Delayed Steal","Baserunning","Intermediate",3,8,MED,"reps","reps_guidance ""10 secondary leads + 6 delayed-steal reps"" -> 10 reps @ 30s x1 pace, setup 3m base +1m Medium"
"Catcher Footwork Skills and Drills","Catching","Intermediate",,12,LOW,"category model","no reps_guidance; Catching assumed 30 reps @ 12s x1 pace, setup 4m base +1m Medium +1m equipment"
"Simple Base Running Drills for Youth Practice","Baserunning","Beginner",,10,LOW,"category model","no reps_guidance; Baserunning assumed 12.5 reps @ 30s x0.9 pace, setup 3m base +2m Full Field"
"5-Point Baserunning Checklist Drill","Baserunning","Beginner",,10,LOW,"category model","no reps_guidance; Baserunning assumed 12.5 reps @ 30s x0.9 pace, setup 3m base +2m Full Field"
"Top 5 Blocking Drills for Catchers","Catching","Beginner",,8,MED,"reps","reps_guidance ""2 sets of 8 blocks (straight, left, right)"" -> 16 reps @ 12s x0.9 pace, setup 4m base"
"How to Run the Bases — Pro Tips","Baserunning","Beginner",,10,LOW,"category model","no reps_guidance; Baserunning assumed 12.5 reps @ 30s x0.9 pace, setup 3m base +2m Full Field"
"Baseball Arm Stretches and Pre-Throwing Warm-Up","Arm Care","Beginner",,5,LOW,"category model","no reps_guidance; Arm Care assumed 9 reps @ 20s x0.9 pace, setup 2m base"
"Complete Pitching and Throwing Warm-Up Routine","Arm Care","Beginner",,10,LOW,"category model","no reps_guidance; Arm Care assumed 9 reps @ 20s x0.9 pace, setup 2m base +1m equipment"
"8 Baseball Warm-Up Exercises You Must Do","Warmup","Beginner",,5,LOW,"category model","no reps_guidance; Warmup assumed 10 reps @ 20s x0.9 pace, setup 2m base +1m Medium"
"Dynamic Warm-Up with Arm Stretches","Warmup","Beginner",,5,LOW,"category model","no reps_guidance; Warmup assumed 10 reps @ 20s x0.9 pace, setup 2m base"
"Base Running Athletic Circuit","Athletic Development","Beginner",,10,LOW,"category model","no reps_guidance; Athletic Development assumed 10 reps @ 30s x0.9 pace, setup 3m base +2m Full Field"
"Baseball Dynamic Stretches for Youth Players","Athletic Development","Beginner",,8,LOW,"category model","no reps_guidance; Athletic Development assumed 10 reps @ 30s x0.9 pace, setup 3m base"
"One Hand Drill","Hitting","Intermediate",,8,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base"
"Pro Base-Stealing Package — Leads, Reads & Jumps","Baserunning","Advanced",4,15,MED,"reps","reps_guidance ""8-10 live steal reps, charted"" -> 9 reps @ 30s x1.25 pace, setup 3m base +2m Full field +1m equipment +2m game speed"
"Calm Rundowns — Push Back, Follow Your Throw","Team Defense","Intermediate",3,12,MED,"reps","reps_guidance ""6-8 rundown reps with full rotation"" -> 7 reps @ 45s x1 pace, setup 6m base +1m Medium"
"PVC Pipe Hip Rotation Drill","Hitting","Beginner",,8,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base"
"Little League Cuts & Relays System","Team Defense","Beginner",2,15,MED,"reps","reps_guidance ""Walk-through of 4 scenarios, then 2 live reps each"" -> 8 reps @ 45s x0.9 pace, setup 6m base +2m Full field +1m equipment"
"Soft Toss From the Side","Hitting","Beginner",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"Front Toss","Hitting","Beginner",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"One-Hand Tee Drill (Bottom Hand)","Hitting","Intermediate",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base +1m equipment"
"High Tee Drill — Hitting Up in the Zone","Hitting","Intermediate",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base +1m equipment"
"Knee Drill (Rotational Load)","Hitting","Intermediate",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base +1m equipment"
"Fundamentals of Hitting — Coach's Clinic","Hitting","Beginner",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"5 Essential Hitting Drills for Youth Baseball","Hitting","Beginner",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +2m equipment"
"10 Best Baseball Hitting Drills for Kids","Hitting","Beginner",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m Medium +2m equipment"
"High Tee","Hitting","Intermediate",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base +1m equipment"
"Line Relay Race — Catch, Turn, Throw","Team Defense","Beginner",2,10,MED,"reps","reps_guidance ""4-6 races per session"" -> 5 reps @ 45s x0.9 pace, setup 6m base +1m Medium"
"Hitting Tips for Tee Ball (4-5 Year Olds)","Hitting","Beginner",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"Catch and Crush Drill — Stay Closed","Hitting","Intermediate",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base +1m equipment"
"Shoulder Swings — Stay Short to the Ball","Hitting","Beginner",,8,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base"
"Frisbee Drill — Hip Rotation & Finish","Hitting","Beginner",,8,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m Medium"
"Barry Larkin / Walk-Through Power Drill","Hitting","Intermediate",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base +1m Medium +1m equipment"
"Bucket Drill — Stay in Your Legs","Hitting","Beginner",,8,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m equipment"
"Two-Tee Drill — Contact at Different Heights","Hitting","Intermediate",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base +1m equipment"
"Cutoff Responsibilities by Situation","Team Defense","Intermediate",3,12,MED,"reps","reps_guidance ""6-8 situational reps with runners"" -> 7 reps @ 45s x1 pace, setup 6m base +2m Full field"
"Bounce Toss / Angled Toss Drill","Hitting","Intermediate",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base +1m Medium +1m equipment"
"Happy Gilmore / Walking Load Drill","Hitting","Intermediate",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base +1m Medium +1m equipment"
"Two-Strike Hitting Adjustment Drill","Hitting","Intermediate",,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base +1m Medium +1m equipment"
"The Track and Catch Drill — Head on the Ball","Hitting","Beginner",,8,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base +1m equipment"
"Machine-Fed Relay Sequences at Game Speed","Team Defense","Advanced",4,20,MED,"reps","reps_guidance ""3 rounds of 5 relay sequences at full speed"" -> 15 reps @ 45s x1.25 pace, setup 6m base +2m Full field +1m equipment +2m game speed"
"Stance Drill","Hitting","Beginner",,8,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base"
"Youth Pitching Mechanics — Complete Step-by-Step Breakdown","Pitching","Beginner",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +2m Full Field +1m equipment"
"The Rocker Drill — Hip Lead & Weight Shift","Pitching","Intermediate",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x1 pace, setup 4m base +1m Medium +1m equipment"
"The Heel-Toe Drill — Front Foot Landing","Pitching","Beginner",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m Medium +1m equipment"
"The Lawnmower Drill — Arm Action & Wrist Snap","Pitching","Beginner",,8,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m equipment"
"Stride Drill","Pitching","Beginner",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m Medium +1m equipment"
"Two-Base Pickle Drill","Team Defense","Beginner",2,10,MED,"reps","reps_guidance ""Each player: 4-6 reps per role"" -> 5 reps @ 45s x0.9 pace, setup 6m base +1m Medium"
"Flamingo Balance Drill — Single-Leg Stability","Pitching","Beginner",,8,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base"
"Towel Drill — Arm Speed & Release Point","Pitching","Beginner",,8,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m Medium"
"Kneel-Down (Wrist Snap) Drill — Release Point & Backspin","Pitching","Beginner",,8,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m equipment"
"Square Hips / Hip Lock Drill — Hip-Shoulder Separation","Pitching","Intermediate",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x1 pace, setup 4m base +1m Medium +1m equipment"
"Stride Direction Drill — Using a Chalk Line or Tape","Pitching","Beginner",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m Medium +1m equipment"
"Wrist Snap Drill","Pitching","Beginner",,8,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base"
"In-Swing Off-Speed Adjustment","Hitting","Advanced",4,15,MED,"reps","reps_guidance ""4 rounds of 10 mixed pitches"" -> 40 reps @ 12s x1.25 pace, setup 3m base +1m Medium +1m equipment +2m game speed"
"Glove-Side Pull Drill — Front Side Control","Pitching","Intermediate",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x1 pace, setup 4m base +1m Medium +1m equipment"
"9 Best Pitching Drills for Kids — Full Progression","Pitching","Beginner",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m Medium +2m equipment"
"Follow-Through Hold Drill — Finishing Strong","Pitching","Beginner",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m Medium +1m equipment"
"Rocker Drill","Pitching","Intermediate",,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x1 pace, setup 4m base +1m Medium"
"Balance Drill","Pitching","Beginner",,8,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base"
"Towel Snap Drill","Pitching","Beginner",,8,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m Medium"
"Knee Drill","Pitching","Beginner",,8,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base"
"Leg Lift Drill","Pitching","Beginner",,8,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base"
"Hip Lead Drill","Pitching","Intermediate",,8,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x1 pace, setup 4m base +1m Medium"
"Follow Through Drill","Pitching","Beginner",,8,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m Medium"
"10 Best Baseball Throwing Drills for Kids — Full Progression","Throwing","Beginner",,10,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"Throwing Progression for Youth Players — Knee, Hip, Full","Throwing","Beginner",,10,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium"
"Game-Speed Rundown Execution","Team Defense","Advanced",4,20,MED,"reps","reps_guidance ""8-10 competitive reps, scored"" -> 9 reps @ 45s x1.25 pace, setup 6m base +1m Medium +1m equipment +2m game speed"
"First Base Fundamentals — Finding the Bag & the Stretch","Fielding (Infield)","Beginner",2,10,MED,"reps","reps_guidance ""3 rounds of 8 reps (footwork only, then with throws)"" -> 24 reps @ 15s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"Foul Line Throw — First Throw Introduction for Beginners","Throwing","Beginner",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +2m Full Field +1m equipment"
"Wall Ball Solo Drill — Partner-Free Mechanics Builder","Throwing","Beginner",,5,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base"
"Crow Hop — Arm Strength and Outfield Throwing","Throwing","Intermediate",,10,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x1 pace, setup 3m base +2m Full Field +1m equipment"
"Extreme Catch — Progressive Distance Arm Builder","Throwing","Beginner",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +2m Full Field +1m equipment"
"Bullseye Challenge — Throwing Accuracy Competition","Throwing","Beginner",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"Over-Under — Two Ways to Throw and Catch","Throwing","Beginner",,5,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base"
"High Five Drill — Elbow Up Arm Path Correction","Throwing","Beginner",,5,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base"
"Point-and-Go Glove Drill — Align Your Body to the Target","Throwing","Beginner",,5,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base"
"Kneel-Down Throw — Isolating Upper Body and Wrist Snap","Throwing","Beginner",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m equipment"
"Long Toss Progression — Building Arm Strength Safely","Throwing","Intermediate",,10,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x1 pace, setup 3m base +2m Full Field +1m equipment"
"Quick Hands Quick Feet — Fast Transfer Drill","Throwing","Intermediate",,5,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x1 pace, setup 3m base"
"Funnel Drill — Correct Arm Path Out of the Glove","Throwing","Beginner",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium"
"Clean Up Crew — Fun Fielding-to-Throw Game","Throwing","Beginner",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium"
"Selfies Solo Rebounder — Build Reps Without a Partner","Throwing","Beginner",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m equipment"
"Fun Fielding Drill for Young Players","Fielding (Infield)","Beginner",,10,LOW,"category model","no reps_guidance; Fielding (Infield) assumed 24 reps @ 15s x0.9 pace, setup 3m base +1m equipment"
"Throwing Accuracy Race — Competitive Catch Under Pressure","Throwing","Beginner",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium"
"Throwing Progression","Throwing","Beginner",,10,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium"
"Catch Drill","Throwing","Beginner",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base"
"Wall Ball","Throwing","Beginner",,5,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base"
"Crow Hop Drill","Throwing","Intermediate",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x1 pace, setup 3m base +2m Full Field"
"Long Toss","Throwing","Intermediate",,10,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x1 pace, setup 3m base +2m Full Field"
"Quick Hands Drill","Throwing","Intermediate",,5,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x1 pace, setup 3m base"
"Funnel Drill","Throwing","Beginner",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium"
"Two Hand Catch","Throwing","Beginner",,5,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base"
"Partner Catch","Throwing","Beginner",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium"
"Warm-Up Catch","Throwing","Beginner",,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium"
"First Base Footwork & Throw Adjustments","Fielding (Infield)","Intermediate",3,10,MED,"reps","reps_guidance ""4 rounds of 6 throws (one round per quadrant)"" -> 24 reps @ 15s x1 pace, setup 3m base +1m Medium"
"4 High-Energy Infield Drills","Fielding (Infield)","Intermediate",,12,LOW,"category model","no reps_guidance; Fielding (Infield) assumed 24 reps @ 15s x1 pace, setup 3m base +2m Full Field +1m equipment"
"The Hands Routine — Infield Fielding Drill","Fielding (Infield)","Intermediate",,10,LOW,"category model","no reps_guidance; Fielding (Infield) assumed 24 reps @ 15s x1 pace, setup 3m base +1m equipment"
"3 Great Outfield Drills for Youth Players","Fielding (Fly Balls)","Beginner",,10,LOW,"category model","no reps_guidance; Fielding (Fly Balls) assumed 11 reps @ 25s x0.9 pace, setup 3m base +2m Full Field +1m equipment"
