pathway,stage_number,stage_name,stage_objective,primary_drill_count,regression_count,reinforcement_count,progression_count,assessment_count,game_application_count,taxonomy_problem_count,mastery_signal_present,status,gap_notes
pitching-development,5,Stride direction and landing,"Lands the front foot in the same place, pointing the same way, every pitch.",2,0,1,0,0,0,3,yes,READY,
pitching-development,6,Front side control,Pulls the glove into the ribs so the chest drives at the target.,2,0,0,0,1,0,2,yes,READY,
pitching-development,7,Arm action and wrist snap,"Moves the arm loosely and snaps the wrist, producing tight backspin.",1,1,1,0,0,0,4,yes,READY,
pitching-development,8,Release point and extension,Releases the ball at the same point out front on every pitch.,1,1,1,0,0,0,3,yes,READY,
pitching-development,9,Finish and follow-through,"Finishes balanced, decelerated, and ready to field.",1,1,0,0,0,0,2,yes,THIN,
pitching-development,10,Momentum and tempo,Moves down the mound with rhythm rather than from a standstill.,1,1,1,0,0,0,2,yes,READY,
pitching-development,11,A second pitch,Throws a changeup for a strike with the same arm speed as the fastball.,1,0,0,1,0,0,1,yes,THIN,
throwing-development,1,Grip and a clean release,Finds a four-seam grip without looking and lets the ball go without fear.,1,1,1,0,0,0,2,yes,READY,
throwing-development,2,Basic arm action,Takes the ball down and through with the elbow at shoulder height and a wrist snap.,2,1,0,1,0,0,4,yes,READY,
throwing-development,3,Direction and alignment,Lines the body up at the target before the arm works.,2,0,1,0,0,0,1,yes,READY,
throwing-development,4,Lower-half involvement,Uses the legs and torso so the throw is not made by the arm alone.,1,1,0,1,0,0,2,yes,READY,
throwing-development,5,Catch-and-throw rhythm,"Catches cleanly and throws back with full mechanics, repeatedly.",1,1,2,1,1,0,2,yes,READY,
throwing-development,6,Throwing footwork,Gets the feet organised on the move so the throw can be made from anywhere.,1,1,1,0,0,0,2,yes,READY,
throwing-development,7,Quick transfer,Releases without a visible pause between the catch and the throw.,2,0,2,0,0,0,1,yes,READY,
throwing-development,8,Accuracy,Throws at a specific spot and keeps doing so under mild pressure.,1,1,0,1,0,1,2,yes,READY,
throwing-development,9,Distance and long toss,"Builds arm strength at distance with an arc, and looks after the arm afterwards.",1,0,3,1,0,0,3,yes,READY,
throwing-development,10,Game-speed throws,"Keeps the mechanics under real urgency, after a real play.",1,0,1,1,0,0,3,yes,READY,
throwing-development,11,Position-specific throwing,Makes the throws their position is actually asked for.,2,0,0,1,0,1,2,yes,READY,
