# Drill canonicalization Phase 1 — the editorial decision for every curated row.
#
# THIS FILE IS THE DECISION, scripts/build-canon-audit.ts is only the join.
# One line per drill_resources row. A row missing from here fails the build of
# docs/audits/drill-canonicalization-decisions.csv, which is the mechanism that
# makes "zero rows may disappear from this audit" true rather than hopeful.
#
# disposition        resource_kind implied      schedulable after
#   KEEP_CANONICAL     activity                   yes
#   MERGE_INTO         activity                   yes  (family redundancy stops co-scheduling)
#   VARIATION_OF       activity                   yes
#   PROGRESSION_OF     activity                   yes
#   PRACTICE_UNIT      practice_unit              yes, on surfaces that support it
#   SOURCE_COLLECTION  source_collection          NO
#   TEACHING_CONTENT   teaching_content           NO
#   REVIEW_REQUIRED    (left NULL)                yes — unknown must not demote
#
# MERGE_INTO in Phase 1 means: both rows join ONE family, the canonical row is
# `base`. It does NOT mean a delete and does NOT hide the loser from the
# library — there is no duplicate_of column yet and history must still resolve.
# Library de-duplication is Phase 2. Said plainly so nobody reads a merge here
# as a merge that happened.
#
# id	disposition	canonical_target_id	family_slug	variation_type	confidence	review	rationale
#
# ── ARM CARE (5) — outside the pilot; decisions recorded, nothing written ────
5f398d5c-6377-4119-b5b7-99b81f4b8028	PRACTICE_UNIT			 	medium	yes	Five receiving drills presented as one circuit. Unit or collection is genuinely unclear.
478cb186-6370-494d-b94a-47136344ccd8	REVIEW_REQUIRED			 	low	yes	Title names one setup, description names five drills. Cannot resolve from the row.
a1914ed5-c1e1-4123-ad4c-66685131199b	SOURCE_COLLECTION			 	high	no	Names five distinct drills. Each is separately extractable — Phase 2 candidate.
1be09ab8-a1a3-45ca-945b-b7b26585c379	SOURCE_COLLECTION			 	high	no	Top-5 compilation.
e709ba50-5004-4e9c-a2b6-3abffa809e78	SOURCE_COLLECTION			 	high	no	Covers receiving, blocking and throwing — three subjects.
e7bd95b6-d491-49e2-a383-7fc381e7b0ce	KEEP_CANONICAL			 	high	no	One receiving progression with stated glove presentation.
# ── FIELDING (FLY BALLS) (11) ───────────────────────────────────────────────
8f9473e4-ff47-41cd-96b1-756aa76a3379	SOURCE_COLLECTION			 	high	no	Two drills in one row, by its own description.
79c17c8e-3331-4930-a729-a0d18196cf73	SOURCE_COLLECTION		outfield-fly-ball-reads	base	medium	yes	Three progressive drills. DEMOTING THIS LEAVES THE outfield-fly-ball-reads FAMILY WITHOUT A BASE — see report.
19e2c8a9-d4a2-48bc-a511-0471f030d2e2	SOURCE_COLLECTION			 	high	no	Three drills covering drop step, footwork and more.
0dba3ce4-0df5-4905-b95b-09705a5595d5	KEEP_CANONICAL			 	high	no	One communication activity with a stated drill format.
daea5efc-42ce-4a83-9f07-a867dd6fbddd	KEEP_CANONICAL			 	high	no	One play, one footwork rule, one release.
97efe128-5367-4ad5-959e-9c32f3b565e3	SOURCE_COLLECTION			 	high	no	Must-do drills across fly balls and ground balls.
29276b7a-fd04-45ff-825d-1d715d384908	KEEP_CANONICAL			 	high	no	Named equipment arrangement.
0c9a28d6-8fcf-4000-82fa-a1216ed45916	KEEP_CANONICAL			 	high	no	One team communication drill. Same concept as 0dba3ce4 on a different video — family deferred.
6594d761-ce0b-4f2b-b72f-1f19fdb6574c	TEACHING_CONTENT			 	medium	yes	Progressions toward comfort; no arrangement stated.
7ae1f28a-6e16-4163-b481-1b89226397eb	KEEP_CANONICAL			 	high	no	One priority rule drilled across the two groups.
744a47da-ef0c-42b0-b961-1175aaad42d9	KEEP_CANONICAL		outfield-fly-ball-reads	base	high	yes	Promoted to family base: the current base 79c17c8e is a collection.
# ── FIELDING (INFIELD) (22) — PILOT ─────────────────────────────────────────
f0c8b459-6bb1-499b-8fae-3969e7917846	SOURCE_COLLECTION		ground-ball-fundamentals	base	high	yes	Three beginner drills in one row. DEMOTING THIS LEAVES ground-ball-fundamentals WITHOUT A BASE — 4c68b693 is promoted below.
64c760e9-fb4d-449a-ba23-81dd057e0b11	SOURCE_COLLECTION			 	high	no	Four drills in one row, by its own description.
5afa81e5-ec55-4066-b62f-1b535884060b	KEEP_CANONICAL			 	high	no	Specific first-base work around the bag.
0833de14-902c-408a-a3a9-a8c4df28c4f1	KEEP_CANONICAL			 	high	no	Specific, named footwork pattern. Brief: keep.
2f5901d2-ed57-4f6b-9dcc-6d1dc6110ef9	PRACTICE_UNIT			 	medium	yes	Five backhand drills run daily as one series.
971dccd3-bc0f-4043-9e2d-3417fc6f7361	KEEP_CANONICAL			 	high	no	One exchange at one base for two positions.
c345c3a1-bda3-43f7-b6f3-16e77432ab83	KEEP_CANONICAL			 	high	no	Distinct pattern. Brief: do NOT merge with Cone Drill or Four Cones.
6c2e8d58-e7f0-4727-b561-cb61bca27e25	KEEP_CANONICAL			 	high	no	Concrete: adjusting feet to the throw. Same concept as d685834e, different video — family deferred.
d685834e-1b6a-45ad-b06a-d7cf63447eef	KEEP_CANONICAL			 	high	no	Core first-base play with stated mechanics.
781605ce-10f5-400c-b7e2-6243915b5da2	KEEP_CANONICAL		ground-ball-fundamentals	space_variant	high	no	Keeps its existing family role. Brief: distinct from Cone Drill and Figure Eight.
267777ed-01d2-4985-a4aa-5a1c41299f11	KEEP_CANONICAL			 	medium	no	One engaging fielding drill from a named coach.
fbbe6484-8b9d-486b-839e-23114e600c77	KEEP_CANONICAL			 	high	no	One partner drill. Carries NO video — proves a drill needs no media.
b3534518-f0df-4f30-8378-0b7d084e5fb9	KEEP_CANONICAL			 	high	no	One combined field-and-throw activity.
9fea10f7-efb9-4006-bce8-7a6109bb7fbe	KEEP_CANONICAL		protect-the-castle	base	high	no	Already the family base. No video, full written setup.
6b13a4df-dc75-417f-89db-578fe99bdf44	KEEP_CANONICAL		protect-the-castle	progression	high	no	Already the family progression.
adf1d78d-fbe5-417c-a2d0-5860e555b356	REVIEW_REQUIRED			 	low	yes	Singular by name and description, but the row carries no setup to confirm one activity. Unknown beats invented certainty.
6517d249-a27d-41af-a86e-72bb8187c28b	KEEP_CANONICAL			 	high	no	Named approach-angle drill. Brief: do NOT merge with Four Cones or Figure Eight.
4c68b693-a617-4827-a732-653c2a64a27d	KEEP_CANONICAL		ground-ball-fundamentals	base	high	yes	Promoted from regression to family base: the current base f0c8b459 is a collection.
192913af-c080-4361-b20e-f88f29db530f	KEEP_CANONICAL			 	high	no	Named signature routine, one activity. Brief: keep specific.
270f1772-259d-4a05-8376-6b993d20137b	SOURCE_COLLECTION			 	medium	yes	Its own description says three separate drills.
2d15c6de-d4a9-414a-9755-533140dd68b0	KEEP_CANONICAL			 	high	no	One timed three-ball pattern.
6f1ef230-3f1a-4bcd-a969-87be5cdc65ed	KEEP_CANONICAL			 	high	no	One posture-and-footwork activity with a stated space constraint.
# ── HITTING (55) — PILOT ────────────────────────────────────────────────────
0d6f53b2-ca7d-45ae-b0d2-eac1d8c13f9a	SOURCE_COLLECTION			 	high	no	Ten drills in one row. The example in the brief: a coach must never be asked to schedule this.
ebd5359b-cccd-4249-b2d9-6e66987535eb	SOURCE_COLLECTION			 	high	yes	Exact duplicate of 0d6f53b2 — same title, same video. Both demoted; de-duplication is Phase 2.
0339e559-16cd-4912-94f6-a895ab8dc119	SOURCE_COLLECTION			 	high	no	Five drills in one row.
abd7b4c8-d0a6-4ae5-ba4d-81b816da87c0	SOURCE_COLLECTION			 	high	no	Seven-drill progression in one row.
0997fc64-a8e8-44b1-995c-3aa1e0291a99	KEEP_CANONICAL			 	high	no	One progressive load drill.
40eebd5c-d2ab-4245-92bc-5cf73e68ba87	KEEP_CANONICAL			 	high	no	One cue with one body position.
7bff401e-095e-447b-83e8-bc6cc750c85d	KEEP_CANONICAL			 	medium	yes	Walk-through momentum drill. Same video and related concept to 5381544c; the brief warns against blind merge, so both stay canonical.
4fa59dec-86b0-46f7-bb31-f59382b1e9f4	KEEP_CANONICAL			 	high	no	Named feed pattern producing an unpredictable ball path.
1c406241-97b4-425d-8f16-89ade2dbbc22	KEEP_CANONICAL			 	high	no	Named equipment, stated body position.
26332028-2d32-4f42-817e-c8628f2bdbcd	KEEP_CANONICAL			 	high	no	One concrete constraint on the top hand.
f1bf25fb-0167-4b61-b196-675b2ba14280	KEEP_CANONICAL			 	medium	no	Targets a named flaw with a drill framing.
ba7e4b8c-ad36-45bd-9b63-b7b354b9d43d	KEEP_CANONICAL			 	high	no	One freeze point, one position to feel.
a50f834a-2912-4b0d-9da2-e6856760b644	KEEP_CANONICAL			 	high	no	Named equipment with its own feedback loop.
eec48dc4-af21-406e-95a2-9db5e22b7596	KEEP_CANONICAL		hitting-front-toss	base	high	no	CANONICAL Front Toss. Cleanest name; 54cf8f72 merges in and carries the fuller setup.
54cf8f72-be57-478b-8a6d-bb084cadbddf	MERGE_INTO	eec48dc4-af21-406e-95a2-9db5e22b7596	hitting-front-toss	base	high	no	Front Toss Drill is Front Toss. Same video, same activity. Brief names this pair.
f94e3f9c-0bd7-41a4-9479-c1ffcbaf5212	SOURCE_COLLECTION			 	high	no	A full coach's clinic covering all hitting topics. Shares a video with two baserunning circuits — the video is a long compilation, which is why a shared id proves nothing.
5381544c-f5e5-4e30-a9e8-fe049a090a07	KEEP_CANONICAL			 	medium	yes	Step-behind walking load. Related to 7bff401e, not proven identical.
037c8a5a-327f-42cf-a2a1-bd550fed9e68	KEEP_CANONICAL		hitting-high-tee	base	high	no	CANONICAL High Tee.
874e0c3a-14d6-4edd-beed-e943c1373d6d	MERGE_INTO	037c8a5a-327f-42cf-a2a1-bd550fed9e68	hitting-high-tee	base	high	yes	High Tee Drill is High Tee on a different video. LEAVES the tee-work family, where it was the progression.
ba88a3cd-b2ae-430b-bd5e-d06c53f58838	VARIATION_OF	037c8a5a-327f-42cf-a2a1-bd550fed9e68	hitting-high-tee	progression	high	no	High Tee with the compact-path constraint added. Brief: variation.
32b31e2c-78f6-47a2-a166-7ce9a3053969	TEACHING_CONTENT			 	high	no	Parent-facing fundamentals for 4-5 year olds; no arrangement.
38d1c493-6e09-4708-8cb7-7fab7eda189f	TEACHING_CONTENT			 	high	no	Step-by-step mechanics breakdown.
fd2b2033-22ec-48f1-96c9-646bb2a1a6f3	TEACHING_CONTENT			 	medium	yes	Describes the correct in-swing adjustment; no setup or reps.
55afb864-a8b0-496c-9b08-3e6805c7902d	KEEP_CANONICAL			 	high	no	Named constraint object at a stated distance.
8f19ecd6-4892-46be-9f0c-b1aef17a86d6	KEEP_CANONICAL			 	high	yes	Shares the NAME Knee Drill with a pitching row (7d82c674) and is a different activity. Name collision, not duplication.
7a2a344c-b2d7-4bf6-b0a2-e1dec8d835ab	KEEP_CANONICAL			 	high	no	Named trainer with an improvised fallback.
31af2888-b541-479e-8a0f-78bcb528ea17	KEEP_CANONICAL			 	high	no	One transition drilled.
e597ce36-5625-42f2-a378-30052499bb18	KEEP_CANONICAL			 	high	yes	Mirror of High Tee. Whether Low Tee joins hitting-high-tee as a height family is a Phase 2 call.
ee6aa905-1e2c-4f96-8eff-4dc22fc01d4f	KEEP_CANONICAL			 	high	no	Named equipment, one activity.
0e5e88b4-7b3c-4325-b658-179e638a8c24	KEEP_CANONICAL		hitting-one-hand	base	high	no	CANONICAL One-Hand Hitting, per the brief.
966c4b46-bc36-4589-9bce-ca0682e24c13	MERGE_INTO	0e5e88b4-7b3c-4325-b658-179e638a8c24	hitting-one-hand	base	high	no	One Hand Hitting Drill is One Hand Drill. Same video, same activity.
09efef50-4077-4e64-80cc-e7d31a8aaa23	VARIATION_OF	0e5e88b4-7b3c-4325-b658-179e638a8c24	hitting-one-hand	regression	high	no	Bottom-hand isolation. Brief: a variation, not a duplicate.
0ddcfd4a-2520-4d3a-ae98-b647bf07c49b	VARIATION_OF	0e5e88b4-7b3c-4325-b658-179e638a8c24	hitting-one-hand	progression	high	yes	Top-hand isolation. LEAVES the tee-work family, where it sat as a regression of Tee Work — a different concept.
769ab66e-93c9-41bb-8519-91bd3e0ab186	KEEP_CANONICAL			 	high	no	One repeatable tee/toss drill with a stated target field.
84ce5709-6afa-44ad-8a73-2e7c8320dd99	TEACHING_CONTENT			 	high	no	Five methods for teaching; addressed to the coach.
40b34435-fd5f-4263-ae2f-b53083ce4531	PRACTICE_UNIT			 	medium	yes	A sequenced bat-weight protocol run as a unit.
9e9405f3-80fb-4ad6-928c-e7749be5e0f6	KEEP_CANONICAL			 	high	no	Named equipment, one movement, no bat.
5abc9df7-d4ad-40d3-b95e-2eb275e82710	KEEP_CANONICAL			 	high	no	Same equipment as 9e9405f3, different purpose (posture, not rotation). Not a duplicate.
4148cfe0-4a27-4abc-a754-dcd5f2544f0e	KEEP_CANONICAL			 	high	no	One dry-swing constraint.
fe94a671-1d24-40fe-9771-4c7f5f708c14	KEEP_CANONICAL		soft-toss	base	high	no	CANONICAL Soft Toss. Takes the family base from the two duplicate rows below.
18e0cf1e-7f9b-4e51-9125-db81b04811a3	MERGE_INTO	fe94a671-1d24-40fe-9771-4c7f5f708c14	soft-toss	base	high	no	Soft Toss From the Side is Soft Toss. Same video.
d38bd8d0-2293-41ce-a97d-b5cb15f47fbc	MERGE_INTO	fe94a671-1d24-40fe-9771-4c7f5f708c14	soft-toss	base	high	yes	Exact duplicate of 18e0cf1e — same title, same video, both already base of the same family.
252404f0-38c3-481f-a18b-f7ce0262903f	KEEP_CANONICAL		hitting-stance	base	high	no	CANONICAL stance work; carries the fuller setup.
4483bfeb-19df-401b-97ce-6f97e527a99b	MERGE_INTO	252404f0-38c3-481f-a18b-f7ce0262903f	hitting-stance	base	high	no	Stance Drill is the same activity on the same video. Brief names this pair.
6c655fff-6181-4b7b-b22b-e1401e2e1f27	REVIEW_REQUIRED			 	low	yes	Explains a concept and then mentions drills. Cannot tell one activity from several.
f35c8a06-d0e9-4a8b-ac8a-efffb204f026	KEEP_CANONICAL			 	high	no	One pause point inserted into the swing.
bd106179-ca57-47ef-9e7e-5f8f235405b0	MERGE_INTO	6a2c9dc7-f08c-47fd-9a08-f9e117f466cb	tee-work	base	high	no	Tee Drill and Tee Work carry WORD-FOR-WORD IDENTICAL descriptions and the same video.
6a2c9dc7-f08c-47fd-9a08-f9e117f466cb	KEEP_CANONICAL		tee-work	base	high	no	CANONICAL Tee Work; keeps its existing family base.
9300e679-69a7-4757-b74d-172103654860	VARIATION_OF	6a2c9dc7-f08c-47fd-9a08-f9e117f466cb	tee-work	progression	high	no	Tee moved in front of the plate — a stated variation of the base setup.
feb4908a-bcde-4744-9a56-010c49b01072	KEEP_CANONICAL			 	high	no	Hitters catch instead of swinging; one concrete constraint.
aeae3e6a-487e-4f74-874d-edfeb83d3446	KEEP_CANONICAL			 	medium	yes	A situational at-bat. Runnable as a live situation, but the row reads partly as analysis.
ac27e607-b52e-4865-8240-5a9b7795a410	KEEP_CANONICAL			 	high	no	Named guide with an improvised fallback.
6d491e2a-be0d-4c9a-94c4-6d66f6d6bfb8	KEEP_CANONICAL			 	high	no	A real single drill extracted from the 10 Best compilation video — proof a collection video contains genuine activities.
ca7017e4-6fa1-4440-8d93-e08dd55eeaa8	KEEP_CANONICAL			 	high	no	Also extracted from the 10 Best compilation. One concrete adjustment.
f5a6bed9-86d9-4578-85f9-8449c0fc1e33	KEEP_CANONICAL			 	high	no	Two tees at stated heights; one arrangement.
# ── PITCHING (33) — outside the pilot; decisions recorded, nothing written ──
253fee8d-d86f-497b-83db-44e622fb0a2d	PRACTICE_UNIT			 	medium	yes	The delivery broken into four parts, run in sequence.
1176adaf-60f6-4dc1-a596-f30773a9c5be	SOURCE_COLLECTION			 	high	no	Five drills in one row.
7563acaf-50dc-4e28-b332-764a6a31c932	SOURCE_COLLECTION			 	high	no	Nine drills, several named in the description.
868fa15d-bfde-4487-83af-d5b27e8962ba	SOURCE_COLLECTION			 	high	yes	Near-duplicate of 7563acaf: same nine drills, same video, different title.
22aad66e-9d36-4b43-9d87-5b402d6621a0	MERGE_INTO	a54d536f-e4f0-4dd5-91d2-d007bd274250		 	high	no	Balance Drill is the balance point hold. Same video, thinner row.
a54d536f-e4f0-4dd5-91d2-d007bd274250	KEEP_CANONICAL			 	high	no	CANONICAL balance point hold; three rows collapse here.
023d2682-3b38-4917-9ae2-6346e30c9abf	TEACHING_CONTENT			 	high	no	A menu of grips to choose from; nothing to run.
a559ea0e-7d73-4920-905f-ccb86e117f4e	KEEP_CANONICAL			 	high	no	Single-leg holds for stated times, no ball. Distinct from the balance point hold.
45f3c274-4d4c-473f-bb3a-a74ecd64ef04	MERGE_INTO	41ff62cc-fb54-4266-8d0c-083a1c341161		 	high	no	Same hold, same video, thinner row.
41ff62cc-fb54-4266-8d0c-083a1c341161	KEEP_CANONICAL			 	high	no	CANONICAL follow-through hold with stated checks.
b1c3653c-82a0-446e-a9cb-0dd5ebf09864	KEEP_CANONICAL			 	high	no	One isolated arm with a stated action.
e5d28c39-30b0-48fd-9534-8a43cd8154db	REVIEW_REQUIRED			 	low	yes	Hip Lead may be the Rocker cue under another name, or its own drill. Same video as the Rocker rows. Not resolvable from the row.
6955e8e1-756d-4f11-a1ca-0675527ebc9e	SOURCE_COLLECTION			 	high	no	Team drills, plural, gathered by venue rather than by activity.
7d82c674-bbcf-44da-99cf-4c1a8e1c123f	MERGE_INTO	94124e82-c8f2-411b-9daa-f0a1a176663e		 	high	no	Kneel and throw with forearm and wrist — the kneel-down drill, thinner row, same video.
94124e82-c8f2-411b-9daa-f0a1a176663e	KEEP_CANONICAL			 	high	no	CANONICAL kneel-down wrist snap with stated distance.
1cf0e1cf-3ea6-4610-85ab-73cad0708d37	MERGE_INTO	a54d536f-e4f0-4dd5-91d2-d007bd274250		 	high	no	Leg lift to balance point and hold — the same drill again.
8219d6db-fbe4-4ee2-93e5-4b5ecd46b12c	SOURCE_COLLECTION			 	high	no	A collection of must-do drills.
14e902d5-2cfc-47fc-8670-52a5b8942f45	MERGE_INTO	03eab7d0-7e67-4143-91e5-b8e4e783014a		 	high	no	Rocker Drill, thinner row, same video.
9611311a-34f7-444d-a98c-44b689a181b6	SOURCE_COLLECTION			 	medium	yes	Two drills in one row.
ffc26e2a-7801-42b7-b610-9a996527e638	KEEP_CANONICAL			 	high	no	One position held at front foot landing.
f47eba7c-bf41-4e1a-8a65-882f6fdcb0b1	KEEP_CANONICAL			 	high	no	CANONICAL stride direction with named equipment.
6829d43b-3680-4524-bc97-16cb75d645a0	MERGE_INTO	f47eba7c-bf41-4e1a-8a65-882f6fdcb0b1		 	high	no	Chalk line stride check — the same drill, thinner row, same video.
9d2b4035-6c2c-4ae2-891c-c617aee30d22	TEACHING_CONTENT			 	high	no	A method for developing a pitch; instruction to the coach.
b22aa9c8-7cd1-4dc0-bba3-c66b03396e21	KEEP_CANONICAL			 	high	no	One landing cue drilled.
25b42f9f-7769-47ac-ad0e-f9140091660e	KEEP_CANONICAL			 	high	no	One named isolation of arm action.
03eab7d0-7e67-4143-91e5-b8e4e783014a	KEEP_CANONICAL			 	high	no	CANONICAL Rocker Drill; three rows collapse here.
29ba52d6-4c87-40be-9c07-e0e760bf4cbc	MERGE_INTO	03eab7d0-7e67-4143-91e5-b8e4e783014a		 	high	no	The Rocker Drill for Pitching is the Rocker Drill. Same video, same coach.
cf56cda8-d397-4ed7-873b-560b78d6473e	KEEP_CANONICAL			 	high	no	One rhythm pattern with a stated step.
93cf7e08-9bd0-48c3-a344-26e092c651e7	KEEP_CANONICAL			 	high	no	CANONICAL towel drill with stated equipment and partner.
efc92935-5d8b-48d1-b56a-ac965f0f3716	MERGE_INTO	93cf7e08-9bd0-48c3-a344-26e092c651e7		 	high	no	Towel Snap is the towel drill, thinner row, same video.
3ac709ad-ed24-436f-ae50-31c43c4261a7	TEACHING_CONTENT			 	high	no	Grip introduction; nothing arranged.
77722605-74bc-44b8-9581-fdd1c7d9a4d3	MERGE_INTO	94124e82-c8f2-411b-9daa-f0a1a176663e		 	medium	yes	Isolating wrist snap on the same video as the kneel-down drill; likely the same activity.
73c7c466-4de3-45a1-ad1b-bfc7100bb5a0	TEACHING_CONTENT			 	high	no	Complete mechanics walkthrough with slow motion.
# ── SOFT TOSS (4) ───────────────────────────────────────────────────────────
731d15d2-5e07-4a45-abb4-96163738905e	TEACHING_CONTENT			 	medium	yes	Proper technique for the feeder; instruction rather than an activity.
4cd55f36-4ac8-447a-9633-936c9b1f6c22	KEEP_CANONICAL			 	high	no	A named constraint (eliminate the lower half) on soft toss.
fac499f5-7d4b-49b2-a924-55c97a96eeef	KEEP_CANONICAL			 	high	no	Named substitute object; a distinct activity.
1f64a6c2-11bd-40d4-a45d-ae028f83db91	KEEP_CANONICAL		soft-toss	advanced	high	no	Keeps its existing family role as the advanced variation.
# ── TEAM DEFENSE (7) ────────────────────────────────────────────────────────
2da70c16-18d3-4b63-8eca-12804ac048ea	KEEP_CANONICAL		rundowns	progression	high	no	Keeps its existing family role.
b1f220a4-fdc3-4750-810f-b431e0c8a16f	KEEP_CANONICAL		cuts-and-relays	advanced	high	no	Keeps its existing family role.
91bc52cf-a234-4ad3-97a6-6df6038c752c	KEEP_CANONICAL		rundowns	advanced	high	no	Game-speed rundown; joins the existing rundowns family above the progression.
ef98c922-d86a-46ea-913c-903b41c8ba2e	KEEP_CANONICAL		cuts-and-relays	base	high	no	Keeps its existing family role.
37f0c306-4c6c-4fa6-8491-96fa90893be9	KEEP_CANONICAL		cuts-and-relays	progression	high	no	Keeps its existing family role.
62b2ed36-03da-4e9d-a424-1d94620fde7d	KEEP_CANONICAL			 	high	no	One machine-fed sequence at game speed.
dac833d7-c4f6-42ce-8409-ea83dd77fa65	KEEP_CANONICAL		rundowns	base	high	no	Keeps its existing family role.
# ── THROWING (36) — PILOT ───────────────────────────────────────────────────
455f390b-dd25-4389-a65d-9485f7b6fa53	SOURCE_COLLECTION			 	high	no	Ten drills in one row, several named.
02521925-f738-4f32-a8e5-cc2951732244	SOURCE_COLLECTION			 	high	yes	Near-duplicate of 455f390b: same ten drills, same video, different title.
3269f5db-7541-42a7-b085-0b209f0dd8a6	KEEP_CANONICAL			 	high	no	A scored competition extracted from the compilation video.
